t,etape,en_mouvement,attach_x,attach_y,yaw_ref,tcp_base_x,tcp_base_y,tcp_helper_x,tcp_helper_y
0.6039,init,0,-0.14511,0.23377,1.80206,0.58504,0.08100,-0.21364,0.20948
0.6140,init,0,-0.14511,0.23377,1.80206,0.58505,0.08099,-0.21364,0.20949
0.6241,init,0,-0.14511,0.23377,1.80206,0.58502,0.08101,-0.21364,0.20946
0.6342,init,0,-0.15679,0.25011,1.80156,0.58503,0.08101,-0.21365,0.20947
0.6443,init,0,-0.15679,0.25011,1.80156,0.58501,0.08100,-0.21363,0.20945
0.6544,init,0,-0.15679,0.25011,1.80156,0.58504,0.08098,-0.21362,0.20949
0.6645,init,0,-0.15679,0.25011,1.80156,0.58507,0.08100,-0.21365,0.20951
0.6748,init,0,-0.15679,0.25011,1.80156,0.58503,0.08099,-0.21363,0.20948
0.6851,init,0,-0.15679,0.25011,1.80156,0.58504,0.08100,-0.21364,0.20948
0.6953,init,0,-0.15679,0.25011,1.80156,0.58501,0.08099,-0.21363,0.20946
0.7054,init,0,-0.15867,0.25308,1.80020,0.58501,0.08099,-0.21362,0.20946
0.7156,init,0,-0.15867,0.25308,1.80020,0.58501,0.08099,-0.21362,0.20945
0.7257,init,0,-0.15867,0.25308,1.80020,0.58502,0.08101,-0.21365,0.20946
0.7358,init,0,-0.15867,0.25308,1.80020,0.58502,0.08103,-0.21367,0.20946
0.7461,init,0,-0.15867,0.25308,1.80020,0.58505,0.08099,-0.21364,0.20949
0.7563,init,0,-0.15867,0.25308,1.80020,0.58502,0.08101,-0.21364,0.20946
0.7666,init,0,-0.14638,0.24004,1.79240,0.58499,0.08100,-0.21363,0.20943
0.7768,init,0,-0.14638,0.24004,1.79240,0.58499,0.08104,-0.21367,0.20943
0.7869,init,0,-0.14638,0.24004,1.79240,0.58502,0.08101,-0.21365,0.20946
0.7970,init,0,-0.14638,0.24004,1.79240,0.58503,0.08102,-0.21365,0.20947
0.8071,init,0,-0.14638,0.24004,1.79240,0.58502,0.08098,-0.21362,0.20947
0.8173,init,0,-0.14638,0.24004,1.79240,0.58504,0.08101,-0.21365,0.20947
0.8274,init,0,-0.14638,0.24004,1.79240,0.58502,0.08102,-0.21365,0.20946
0.8377,init,0,-0.14300,0.23638,1.79304,0.58503,0.08099,-0.21363,0.20947
0.8478,init,0,-0.14300,0.23638,1.79304,0.58498,0.08102,-0.21364,0.20942
0.8579,init,0,-0.14300,0.23638,1.79304,0.58504,0.08101,-0.21365,0.20948
0.8680,init,0,-0.14300,0.23638,1.79304,0.58505,0.08101,-0.21365,0.20949
0.8781,init,0,-0.14300,0.23638,1.79304,0.58500,0.08100,-0.21363,0.20944
0.8882,init,0,-0.14300,0.23638,1.79304,0.58504,0.08101,-0.21365,0.20947
0.8983,init,0,-0.14300,0.23638,1.79304,0.58502,0.08102,-0.21365,0.20946
0.9085,init,0,-0.14450,0.23764,1.79439,0.58501,0.08102,-0.21365,0.20944
0.9187,init,0,-0.14450,0.23764,1.79439,0.58500,0.08100,-0.21364,0.20945
0.9289,init,0,-0.14450,0.23764,1.79439,0.58505,0.08100,-0.21365,0.20949
0.9392,init,0,-0.14450,0.23764,1.79439,0.58501,0.08102,-0.21365,0.20945
0.9494,init,0,-0.14450,0.23764,1.79439,0.58505,0.08098,-0.21363,0.20949
0.9597,init,0,-0.14450,0.23764,1.79439,0.58498,0.08100,-0.21363,0.20943
0.9699,init,0,-0.14126,0.23589,1.78952,0.58500,0.08101,-0.21364,0.20944
0.9801,init,0,-0.14126,0.23589,1.78952,0.58503,0.08102,-0.21366,0.20946
0.9904,init,0,-0.14126,0.23589,1.78952,0.58503,0.08099,-0.21363,0.20947
1.0007,init,0,-0.14126,0.23589,1.78952,0.58505,0.08099,-0.21363,0.20949
1.0109,init,0,-0.14126,0.23589,1.78952,0.58500,0.08100,-0.21363,0.20944
1.0211,init,0,-0.14126,0.23589,1.78952,0.58503,0.08099,-0.21363,0.20947
1.0314,init,0,-0.14126,0.23589,1.78952,0.58505,0.08098,-0.21363,0.20950
1.0414,init,0,-0.14425,0.23902,1.78713,0.58503,0.08100,-0.21364,0.20947
1.0515,init,0,-0.14425,0.23902,1.78713,0.58505,0.08098,-0.21362,0.20950
1.0616,init,0,-0.14425,0.23902,1.78713,0.58502,0.08102,-0.21366,0.20946
1.0717,init,0,-0.14425,0.23902,1.78713,0.58500,0.08103,-0.21366,0.20943
1.0818,init,0,-0.14425,0.23902,1.78713,0.58502,0.08102,-0.21366,0.20945
1.0919,init,0,-0.14425,0.23902,1.78713,0.58504,0.08100,-0.21364,0.20948
1.1021,init,0,-0.14425,0.23902,1.78713,0.58507,0.08098,-0.21363,0.20952
1.1124,init,0,-0.14114,0.23427,1.78688,0.58501,0.08099,-0.21363,0.20946
1.1226,init,0,-0.14114,0.23427,1.78688,0.58503,0.08100,-0.21363,0.20947
1.1328,init,0,-0.14114,0.23427,1.78688,0.58503,0.08102,-0.21366,0.20947
1.1430,init,0,-0.14114,0.23427,1.78688,0.58499,0.08101,-0.21364,0.20943
1.1532,init,0,-0.14114,0.23427,1.78688,0.58505,0.08098,-0.21362,0.20949
1.1634,init,0,-0.14114,0.23427,1.78688,0.58501,0.08098,-0.21362,0.20945
1.1737,init,0,-0.14112,0.23434,1.79032,0.58501,0.08100,-0.21363,0.20945
1.1838,init,0,-0.14112,0.23434,1.79032,0.58499,0.08102,-0.21365,0.20943
1.1940,init,0,-0.14112,0.23434,1.79032,0.58503,0.08100,-0.21364,0.20947
1.2042,init,0,-0.14112,0.23434,1.79032,0.58499,0.08101,-0.21364,0.20943
1.2143,init,0,-0.14112,0.23434,1.79032,0.58504,0.08101,-0.21365,0.20948
1.2245,init,0,-0.14112,0.23434,1.79032,0.58502,0.08102,-0.21365,0.20945
1.2347,init,0,-0.14112,0.23434,1.79032,0.58504,0.08096,-0.21360,0.20949
1.2448,init,0,-0.15354,0.24861,1.79204,0.58502,0.08100,-0.21363,0.20947
