t,phase,ex,ey,th_x,th_y,thd_x,thd_y,phi,pos_x,pos_y,dist_origine,vref_x,vref_y,vfb_x,vfb_y,vcmd_x,vcmd_y,tcp_x,tcp_y,d1_x,d1_y,d3_x,d3_y
0.0000,0,0.11382,0.15621,0.00282,-0.00727,0.00000,0.00000,2.35308,0.11159,-0.26324,0.28592,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.14822,0.92072,0.30000,-0.16279,-0.20000,-0.16279
0.0020,0,0.11382,0.15621,0.00282,-0.00727,-0.00006,0.00014,2.35308,0.11159,-0.26324,0.28592,0.00006,0.00008,0.00000,0.00000,0.00006,0.00008,0.14822,0.92072,0.30000,-0.16279,-0.20000,-0.16279
0.0040,0,0.11382,0.15621,0.00282,-0.00727,-0.00017,0.00021,2.35308,0.11159,-0.26324,0.28592,0.00011,0.00016,0.00000,0.00000,0.00011,0.00016,0.14820,0.92074,0.30000,-0.16279,-0.20000,-0.16279
0.0060,0,0.11382,0.15621,0.00282,-0.00727,-0.00028,0.00027,2.35308,0.11159,-0.26324,0.28592,0.00017,0.00023,0.00000,0.00000,0.00017,0.00023,0.14820,0.92070,0.30000,-0.16279,-0.20000,-0.16279
0.0081,0,0.11382,0.15621,0.00281,-0.00727,-0.00039,0.00034,2.35308,0.11159,-0.26324,0.28592,0.00023,0.00031,0.00000,0.00000,0.00023,0.00031,0.14823,0.92071,0.30000,-0.16279,-0.20000,-0.16279
0.0101,0,0.11565,0.15487,0.00210,-0.00685,-0.00038,0.00044,2.35109,0.11172,-0.26106,0.28396,0.00028,0.00039,0.00000,0.00000,0.00028,0.00039,0.14826,0.92070,0.30000,-0.16279,-0.20000,-0.16279
0.0121,0,0.11565,0.15487,0.00210,-0.00685,-0.00047,0.00049,2.35109,0.11172,-0.26106,0.28396,0.00034,0.00047,0.00000,0.00000,0.00034,0.00047,0.14825,0.92071,0.30000,-0.16279,-0.20000,-0.16279
0.0141,0,0.11565,0.15487,0.00210,-0.00685,-0.00057,0.00055,2.35109,0.11172,-0.26106,0.28396,0.00040,0.00055,0.00000,0.00000,0.00040,0.00055,0.14821,0.92071,0.30000,-0.16279,-0.20000,-0.16279
0.0161,0,0.11565,0.15487,0.00210,-0.00685,-0.00067,0.00061,2.35109,0.11172,-0.26106,0.28396,0.00045,0.00062,0.00000,0.00000,0.00045,0.00062,0.14824,0.92071,0.30000,-0.16279,-0.20000,-0.16279
0.0181,0,0.11565,0.15487,0.00209,-0.00684,-0.00077,0.00066,2.35109,0.11172,-0.26106,0.28396,0.00051,0.00070,0.00000,0.00000,0.00051,0.00070,0.14820,0.92074,0.30000,-0.16279,-0.20000,-0.16279
0.0201,0,0.11565,0.15487,0.00209,-0.00684,-0.00087,0.00072,2.35109,0.11172,-0.26106,0.28396,0.00057,0.00078,0.00000,0.00000,0.00057,0.00078,0.14821,0.92073,0.30000,-0.16279,-0.20000,-0.16279
0.0221,0,0.11565,0.15487,0.00209,-0.00684,-0.00096,0.00078,2.35109,0.11172,-0.26106,0.28396,0.00062,0.00086,0.00000,0.00000,0.00062,0.00086,0.14821,0.92071,0.30000,-0.16279,-0.20000,-0.16279
0.0241,0,0.11565,0.15487,0.00209,-0.00684,-0.00106,0.00083,2.35109,0.11172,-0.26106,0.28396,0.00068,0.00093,0.00000,0.00000,0.00068,0.00093,0.14823,0.92072,0.30000,-0.16279,-0.20000,-0.16279
0.0261,0,0.11565,0.15487,0.00209,-0.00684,-0.00116,0.00089,2.35109,0.11172,-0.26106,0.28396,0.00074,0.00101,0.00000,0.00000,0.00074,0.00101,0.14824,0.92074,0.30000,-0.16279,-0.20000,-0.16279
0.0281,0,0.11565,0.15487,0.00208,-0.00684,-0.00126,0.00095,2.35109,0.11172,-0.26106,0.28396,0.00079,0.00109,0.00000,0.00000,0.00079,0.00109,0.14821,0.92073,0.30000,-0.16279,-0.20000,-0.16279
0.0301,0,0.11565,0.15487,0.00208,-0.00683,-0.00135,0.00100,2.35109,0.11172,-0.26106,0.28396,0.00085,0.00117,0.00000,0.00000,0.00085,0.00117,0.14819,0.92073,0.30000,-0.16279,-0.20000,-0.16279
0.0321,0,0.11565,0.15487,0.00208,-0.00683,-0.00145,0.00106,2.35109,0.11172,-0.26106,0.28396,0.00091,0.00125,0.00000,0.00000,0.00091,0.00125,0.14821,0.92074,0.30000,-0.16279,-0.20000,-0.16279
0.0341,0,0.11565,0.15487,0.00208,-0.00683,-0.00155,0.00111,2.35109,0.11172,-0.26106,0.28396,0.00096,0.00132,0.00000,0.00000,0.00096,0.00132,0.14822,0.92072,0.30000,-0.16279,-0.20000,-0.16279
0.0361,0,0.11565,0.15487,0.00207,-0.00683,-0.00165,0.00117,2.35109,0.11172,-0.26106,0.28396,0.00102,0.00140,0.00000,0.00000,0.00102,0.00140,0.14824,0.92072,0.30000,-0.16279,-0.20000,-0.16279
0.0381,0,0.11565,0.15487,0.00207,-0.00682,-0.00174,0.00123,2.35109,0.11172,-0.26106,0.28396,0.00108,0.00148,0.00000,0.00000,0.00108,0.00148,0.14825,0.92071,0.30000,-0.16279,-0.20000,-0.16279
0.0401,0,0.11565,0.15487,0.00207,-0.00682,-0.00184,0.00128,2.35109,0.11172,-0.26106,0.28396,0.00113,0.00156,0.00000,0.00000,0.00113,0.00156,0.14826,0.92073,0.30000,-0.16279,-0.20000,-0.16279
0.0421,0,0.11565,0.15487,0.00206,-0.00682,-0.00194,0.00134,2.35109,0.11172,-0.26106,0.28396,0.00119,0.00163,0.00000,0.00000,0.00119,0.00163,0.14824,0.92074,0.30000,-0.16279,-0.20000,-0.16279
0.0441,0,0.11565,0.15487,0.00206,-0.00682,-0.00203,0.00140,2.35109,0.11172,-0.26106,0.28396,0.00125,0.00171,0.00000,0.00000,0.00125,0.00171,0.14823,0.92076,0.30000,-0.16279,-0.20000,-0.16279
0.0461,0,0.11565,0.15487,0.00205,-0.00681,-0.00213,0.00145,2.35109,0.11172,-0.26106,0.28396,0.00130,0.00179,0.00000,0.00000,0.00130,0.00179,0.14823,0.92074,0.30000,-0.16279,-0.20000,-0.16279
