t,phase,ex,ey,th_x,th_y,thd_x,thd_y,phi,pos_x,pos_y,dist_origine,vref_x,vref_y,vfb_x,vfb_y,vcmd_x,vcmd_y,tcp_x,tcp_y,d1_x,d1_y,d3_x,d3_y
0.0000,0,0.27184,0.14644,-0.00571,0.00536,0.00000,0.00000,2.10437,-0.02552,-0.24357,0.24490,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01103,0.86220,0.30000,-0.23830,-0.10000,-0.23830
0.0020,0,0.27184,0.14644,-0.00571,0.00536,0.00011,-0.00011,2.10437,-0.02552,-0.24357,0.24490,0.00013,0.00007,0.00000,0.00000,0.00013,0.00007,0.01106,0.86221,0.30000,-0.23830,-0.10000,-0.23830
0.0067,0,0.27184,0.14644,-0.00571,0.00536,0.00009,-0.00028,2.10437,-0.02552,-0.24357,0.24490,0.00044,0.00024,0.00000,0.00000,0.00039,0.00024,0.01106,0.86222,0.30000,-0.23830,-0.10000,-0.23830
0.0088,0,0.27184,0.14644,-0.00571,0.00536,-0.00005,-0.00055,2.10437,-0.02552,-0.24357,0.24490,0.00058,0.00031,0.00000,0.00000,0.00058,0.00031,0.01107,0.86221,0.30000,-0.23830,-0.10000,-0.23830
0.0108,0,0.27184,0.14644,-0.00571,0.00535,-0.00013,-0.00073,2.10437,-0.02552,-0.24357,0.24490,0.00071,0.00038,0.00000,0.00000,0.00071,0.00038,0.01101,0.86221,0.30000,-0.23830,-0.10000,-0.23830
0.0128,0,0.27327,0.14537,-0.00634,0.00584,0.00005,-0.00088,2.10405,-0.02639,-0.24187,0.24330,0.00084,0.00045,0.00000,0.00000,0.00084,0.00045,0.01106,0.86219,0.30000,-0.23830,-0.10000,-0.23830
0.0148,0,0.27327,0.14537,-0.00634,0.00584,0.00004,-0.00107,2.10405,-0.02639,-0.24187,0.24330,0.00097,0.00052,0.00000,0.00000,0.00097,0.00052,0.01101,0.86220,0.30000,-0.23830,-0.10000,-0.23830
0.0168,0,0.27327,0.14537,-0.00634,0.00583,0.00003,-0.00125,2.10405,-0.02639,-0.24187,0.24330,0.00110,0.00059,0.00000,0.00000,0.00110,0.00059,0.01107,0.86220,0.30000,-0.23830,-0.10000,-0.23830
0.0188,0,0.27327,0.14537,-0.00634,0.00583,0.00002,-0.00144,2.10405,-0.02639,-0.24187,0.24330,0.00124,0.00067,0.00000,0.00000,0.00124,0.00067,0.01105,0.86221,0.30000,-0.23830,-0.10000,-0.23830
0.0208,0,0.27327,0.14537,-0.00634,0.00583,0.00002,-0.00163,2.10405,-0.02639,-0.24187,0.24330,0.00137,0.00074,0.00000,0.00000,0.00137,0.00074,0.01106,0.86220,0.30000,-0.23830,-0.10000,-0.23830
0.0228,0,0.27327,0.14537,-0.00634,0.00582,0.00001,-0.00181,2.10405,-0.02639,-0.24187,0.24330,0.00150,0.00081,0.00000,0.00000,0.00150,0.00081,0.01105,0.86223,0.30000,-0.23830,-0.10000,-0.23830
0.0248,0,0.27327,0.14537,-0.00634,0.00582,0.00000,-0.00200,2.10405,-0.02639,-0.24187,0.24330,0.00163,0.00088,0.00000,0.00000,0.00163,0.00088,0.01104,0.86222,0.30000,-0.23830,-0.10000,-0.23830
0.0268,0,0.27327,0.14537,-0.00634,0.00582,-0.00001,-0.00218,2.10405,-0.02639,-0.24187,0.24330,0.00176,0.00095,0.00000,0.00000,0.00176,0.00095,0.01106,0.86222,0.30000,-0.23830,-0.10000,-0.23830
0.0288,0,0.27327,0.14537,-0.00634,0.00581,-0.00002,-0.00237,2.10405,-0.02639,-0.24187,0.24330,0.00190,0.00102,0.00000,0.00000,0.00190,0.00102,0.01105,0.86220,0.30000,-0.23830,-0.10000,-0.23830
0.0308,0,0.27327,0.14537,-0.00634,0.00581,-0.00002,-0.00255,2.10405,-0.02639,-0.24187,0.24330,0.00203,0.00109,0.00000,0.00000,0.00203,0.00109,0.01101,0.86220,0.30000,-0.23830,-0.10000,-0.23830
0.0328,0,0.27327,0.14537,-0.00634,0.00580,-0.00003,-0.00274,2.10405,-0.02639,-0.24187,0.24330,0.00216,0.00116,0.00000,0.00000,0.00216,0.00116,0.01100,0.86221,0.30000,-0.23830,-0.10000,-0.23830
0.0348,0,0.27327,0.14537,-0.00634,0.00580,-0.00004,-0.00292,2.10405,-0.02639,-0.24187,0.24330,0.00229,0.00124,0.00000,0.00000,0.00229,0.00124,0.01102,0.86221,0.30000,-0.23830,-0.10000,-0.23830
