t,ex,ey,th_x,th_y,thd_x,thd_y,yaw,vref_x,vref_y,vfb_x,vfb_y,vcmd_x,vcmd_y,tcp_x,tcp_y,dans_cible,th_brut_x,th_brut_y,hx,hy,hdx,hdy,hdyaw,hbouge
0.0000,-0.53569,0.02728,0.01051,-0.00302,0.00000,0.00000,1.57989,-0.00000,0.00000,0.06199,-0.01780,0.00013,-0.00013,0.01258,0.86007,0,0.01051,-0.00302,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0020,-0.53569,0.02728,0.01051,-0.00302,-0.00030,0.00017,1.57989,-0.00008,0.00000,0.06199,-0.01780,0.00038,-0.00038,0.01258,0.86007,0,0.01051,-0.00302,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0040,-0.53569,0.02728,0.01051,-0.00302,-0.00072,0.00046,1.57989,-0.00015,0.00001,0.06198,-0.01779,0.00077,-0.00077,0.01259,0.86006,0,0.01051,-0.00302,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0060,-0.53569,0.02728,0.01051,-0.00302,-0.00126,0.00086,1.57989,-0.00023,0.00001,0.06197,-0.01779,0.00128,-0.00128,0.01261,0.86007,0,0.01051,-0.00302,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0080,-0.53569,0.02728,0.01050,-0.00301,-0.00191,0.00138,1.57989,-0.00031,0.00002,0.06195,-0.01777,0.00192,-0.00192,0.01258,0.86004,0,0.01051,-0.00302,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0101,-0.53569,0.02728,0.01050,-0.00301,-0.00268,0.00201,1.57989,-0.00038,0.00002,0.06193,-0.01775,0.00269,-0.00269,0.01262,0.86005,0,0.01051,-0.00302,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0121,-0.53569,0.02728,0.01049,-0.00301,-0.00357,0.00277,1.57989,-0.00046,0.00002,0.06189,-0.01773,0.00358,-0.00358,0.01260,0.86004,0,0.01051,-0.00302,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0141,-0.53569,0.02728,0.01049,-0.00300,-0.00457,0.00363,1.57989,-0.00053,0.00003,0.06184,-0.01769,0.00461,-0.00461,0.01260,0.86006,0,0.01051,-0.00302,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0161,-0.53569,0.02728,0.01048,-0.00299,-0.00569,0.00462,1.57989,-0.00061,0.00003,0.06178,-0.01764,0.00576,-0.00576,0.01261,0.86006,0,0.01051,-0.00302,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0181,-0.53569,0.02728,0.01046,-0.00298,-0.00692,0.00572,1.57989,-0.00069,0.00003,0.06170,-0.01758,0.00704,-0.00704,0.01264,0.86002,0,0.01051,-0.00302,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0201,-0.53569,0.02728,0.01045,-0.00297,-0.00827,0.00694,1.57989,-0.00076,0.00004,0.06161,-0.01750,0.00845,-0.00845,0.01264,0.86003,0,0.01051,-0.00302,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0221,-0.53569,0.02728,0.01043,-0.00295,-0.00974,0.00827,1.57989,-0.00084,0.00004,0.06151,-0.01741,0.00998,-0.00998,0.01265,0.85999,0,0.01051,-0.00302,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0241,-0.53569,0.02728,0.01041,-0.00293,-0.01132,0.00972,1.57989,-0.00092,0.00005,0.06138,-0.01731,0.01158,-0.01158,0.01267,0.85999,0,0.01051,-0.00302,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0261,-0.53569,0.02728,0.01038,-0.00291,-0.01296,0.01122,1.57989,-0.00099,0.00005,0.06124,-0.01718,0.01318,-0.01318,0.01275,0.85999,0,0.01051,-0.00302,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0281,-0.53569,0.02728,0.01036,-0.00289,-0.01460,0.01273,1.57989,-0.00107,0.00005,0.06108,-0.01704,0.01478,-0.01478,0.01278,0.85996,0,0.01051,-0.00302,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0301,-0.53569,0.02728,0.01033,-0.00286,-0.01624,0.01423,1.57989,-0.00114,0.00006,0.06089,-0.01688,0.01638,-0.01638,0.01276,0.85993,0,0.01051,-0.00302,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0321,-0.53569,0.02728,0.01029,-0.00283,-0.01787,0.01574,1.57989,-0.00122,0.00006,0.06069,-0.01671,0.01798,-0.01786,0.01279,0.85989,0,0.01051,-0.00302,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0341,-0.53569,0.02728,0.01025,-0.00280,-0.01951,0.01713,1.57989,-0.00130,0.00007,0.06047,-0.01651,0.01958,-0.01920,0.01284,0.85986,0,0.01051,-0.00302,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0362,-0.53569,0.02728,0.01021,-0.00276,-0.02115,0.01840,1.57989,-0.00137,0.00007,0.06023,-0.01630,0.02118,-0.02042,0.01290,0.85984,0,0.01051,-0.00302,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0382,-0.53569,0.02728,0.01017,-0.00273,-0.02278,0.01955,1.57989,-0.00145,0.00007,0.05997,-0.01608,0.02278,-0.02150,0.01290,0.85982,0,0.01051,-0.00302,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0402,-0.53569,0.02728,0.01012,-0.00269,-0.02442,0.02059,1.57989,-0.00153,0.00008,0.05969,-0.01584,0.02438,-0.02246,0.01297,0.85977,0,0.01051,-0.00302,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0422,-0.53569,0.02728,0.01007,-0.00264,-0.02605,0.02151,1.57989,-0.00160,0.00008,0.05939,-0.01559,0.02598,-0.02330,0.01298,0.85977,0,0.01051,-0.00302,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0442,-0.53569,0.02728,0.01002,-0.00260,-0.02769,0.02231,1.57989,-0.00168,0.00009,0.05907,-0.01534,0.02758,-0.02400,0.01304,0.85970,0,0.01051,-0.00302,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0462,-0.53569,0.02728,0.00996,-0.00256,-0.02932,0.02300,1.57989,-0.00175,0.00009,0.05874,-0.01507,0.02918,-0.02458,0.01314,0.85970,0,0.01051,-0.00302,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0482,-0.53682,0.02818,0.01125,-0.00253,-0.00588,0.02357,1.57941,-0.00183,0.00009,0.06598,-0.01464,0.03078,-0.02502,0.01322,0.85962,0,0.01100,-0.00301,-0.11417,0.45579,-0.00075,-0.00176,-0.00154,0
0.0502,-0.53682,0.02818,0.01123,-0.00248,-0.00754,0.02402,1.57941,-0.00191,0.00010,0.06590,-0.01436,0.03238,-0.02534,0.01322,0.85962,0,0.01100,-0.00301,-0.11417,0.45579,-0.00075,-0.00176,-0.00154,0
0.0522,-0.53682,0.02818,0.01122,-0.00243,-0.00919,0.02436,1.57941,-0.00198,0.00010,0.06580,-0.01408,0.03398,-0.02554,0.01325,0.85958,0,0.01100,-0.00301,-0.11417,0.45579,-0.00075,-0.00176,-0.00154,0
0.0542,-0.53682,0.02818,0.01120,-0.00238,-0.01085,0.02457,1.57941,-0.00206,0.00010,0.06568,-0.01379,0.03558,-0.02560,0.01325,0.85952,0,0.01100,-0.00301,-0.11417,0.45579,-0.00075,-0.00176,-0.00154,0
0.0562,-0.53682,0.02818,0.01117,-0.00233,-0.01250,0.02467,1.57941,-0.00213,0.00011,0.06554,-0.01350,0.03718,-0.02554,0.01337,0.85946,0,0.01100,-0.00301,-0.11417,0.45579,-0.00075,-0.00176,-0.00154,0
0.0582,-0.53682,0.02818,0.01115,-0.00229,-0.01415,0.02466,1.57941,-0.00221,0.00011,0.06538,-0.01321,0.03878,-0.02534,0.01340,0.85939,0,0.01100,-0.00301,-0.11417,0.45579,-0.00075,-0.00176,-0.00154,0
0.0602,-0.53682,0.02818,0.01112,-0.00224,-0.01581,0.02452,1.57941,-0.00229,0.00012,0.06520,-0.01292,0.04038,-0.02502,0.01343,0.85938,0,0.01100,-0.00301,-0.11417,0.45579,-0.00075,-0.00176,-0.00154,0
0.0622,-0.53682,0.02818,0.01108,-0.00219,-0.01746,0.02427,1.57941,-0.00236,0.00012,0.06501,-0.01263,0.04198,-0.02458,0.01353,0.85934,0,0.01100,-0.00301,-0.11417,0.45579,-0.00075,-0.00176,-0.00154,0
0.0642,-0.53682,0.02818,0.01105,-0.00214,-0.01911,0.02390,1.57941,-0.00244,0.00012,0.06479,-0.01235,0.04358,-0.02400,0.01358,0.85925,0,0.01100,-0.00301,-0.11417,0.45579,-0.00075,-0.00176,-0.00154,0
0.0662,-0.53682,0.02818,0.01101,-0.00209,-0.02076,0.02341,1.57941,-0.00251,0.00013,0.06455,-0.01207,0.04518,-0.02330,0.01362,0.85923,0,0.01100,-0.00301,-0.11417,0.45579,-0.00075,-0.00176,-0.00154,0
0.0682,-0.53682,0.02818,0.01096,-0.00205,-0.02241,0.02281,1.57941,-0.00259,0.00013,0.06430,-0.01179,0.04678,-0.02246,0.01376,0.85918,0,0.01100,-0.00301,-0.11417,0.45579,-0.00075,-0.00176,-0.00154,0
0.0702,-0.53682,0.02818,0.01092,-0.00200,-0.02406,0.02209,1.57941,-0.00267,0.00014,0.06402,-0.01153,0.04838,-0.02150,0.01377,0.85913,0,0.01100,-0.00301,-0.11417,0.45579,-0.00075,-0.00176,-0.00154,0
0.0722,-0.53682,0.02818,0.01087,-0.00196,-0.02571,0.02125,1.57941,-0.00274,0.00014,0.06372,-0.01127,0.04998,-0.02042,0.01380,0.85907,0,0.01100,-0.00301,-0.11417,0.45579,-0.00075,-0.00176,-0.00154,0
0.0742,-0.53682,0.02818,0.01081,-0.00192,-0.02735,0.02030,1.57941,-0.00282,0.00014,0.06341,-0.01103,0.05158,-0.01920,0.01394,0.85905,0,0.01100,-0.00301,-0.11417,0.45579,-0.00075,-0.00176,-0.00154,0
0.0762,-0.53682,0.02818,0.01076,-0.00188,-0.02900,0.01922,1.57941,-0.00289,0.00015,0.06308,-0.01079,0.05318,-0.01786,0.01404,0.85899,0,0.01100,-0.00301,-0.11417,0.45579,-0.00075,-0.00176,-0.00154,0
0.0782,-0.53682,0.02818,0.01070,-0.00184,-0.03065,0.01803,1.57941,-0.00297,0.00015,0.06272,-0.01057,0.05478,-0.01638,0.01419,0.85889,0,0.01100,-0.00301,-0.11417,0.45579,-0.00075,-0.00176,-0.00154,0
0.0802,-0.53682,0.02818,0.01064,-0.00180,-0.03229,0.01673,1.57941,-0.00305,0.00016,0.06235,-0.01037,0.05638,-0.01478,0.01419,0.85889,0,0.01100,-0.00301,-0.11417,0.45579,-0.00075,-0.00176,-0.00154,0
0.0822,-0.53682,0.02818,0.01057,-0.00177,-0.03393,0.01531,1.57941,-0.00312,0.00016,0.06196,-0.01018,0.05798,-0.01318,0.01430,0.85885,0,0.01100,-0.00301,-0.11417,0.45579,-0.00075,-0.00176,-0.00154,0
0.0843,-0.53682,0.02818,0.01050,-0.00174,-0.03557,0.01388,1.57941,-0.00320,0.00016,0.06155,-0.01001,0.05946,-0.01158,0.01439,0.85881,0,0.01100,-0.00301,-0.11417,0.45579,-0.00075,-0.00176,-0.00154,0
0.0862,-0.53682,0.02818,0.01043,-0.00172,-0.03710,0.01246,1.57941,-0.00328,0.00017,0.06111,-0.00985,0.06080,-0.00998,0.01447,0.85875,0,0.01100,-0.00301,-0.11417,0.45579,-0.00075,-0.00176,-0.00154,0
0.0882,-0.53682,0.02818,0.01035,-0.00169,-0.03850,0.01103,1.57941,-0.00335,0.00017,0.06067,-0.00971,0.06202,-0.00851,0.01459,0.85875,0,0.01100,-0.00301,-0.11417,0.45579,-0.00075,-0.00176,-0.00154,0
0.0902,-0.53682,0.02818,0.01027,-0.00167,-0.03979,0.00972,1.57941,-0.00343,0.00017,0.06020,-0.00959,0.06310,-0.00717,0.01465,0.85866,0,0.01100,-0.00301,-0.11417,0.45579,-0.00075,-0.00176,-0.00154,0
0.0923,-0.53682,0.02818,0.01019,-0.00165,-0.04096,0.00853,1.57941,-0.00350,0.00018,0.05972,-0.00948,0.06406,-0.00595,0.01478,0.85866,0,0.01100,-0.00301,-0.11417,0.45579,-0.00075,-0.00176,-0.00154,0
0.0943,-0.53682,0.02818,0.01011,-0.00164,-0.04201,0.00746,1.57941,-0.00358,0.00018,0.05923,-0.00939,0.06490,-0.00486,0.01488,0.85859,0,0.01100,-0.00301,-0.11417,0.45579,-0.00075,-0.00176,-0.00154,0
