t,ex,ey,th_x,th_y,thd_x,thd_y,yaw,vref_x,vref_y,vfb_x,vfb_y,vcmd_x,vcmd_y,tcp_x,tcp_y,dans_cible,th_brut_x,th_brut_y,hx,hy,hdx,hdy,hdyaw,hbouge
0.0001,-0.51123,-0.02524,-0.00622,0.00200,0.00000,0.00000,1.66415,-0.00001,-0.00000,-0.06117,0.01964,-0.00013,0.00013,0.01254,0.86005,0,-0.00622,0.00200,-0.09327,0.47005,-0.00295,-0.00023,0.00088,0
0.0020,-0.51123,-0.02524,-0.00622,0.00200,0.00023,-0.00015,1.66415,-0.00014,-0.00001,-0.06117,0.01964,-0.00038,0.00038,0.01252,0.86004,0,-0.00622,0.00200,-0.09327,0.47005,-0.00295,-0.00023,0.00088,0
0.0040,-0.51123,-0.02524,-0.00622,0.00200,0.00057,-0.00042,1.66415,-0.00029,-0.00001,-0.06116,0.01964,-0.00077,0.00077,0.01256,0.86008,0,-0.00622,0.00200,-0.09327,0.47005,-0.00295,-0.00023,0.00088,0
0.0060,-0.51123,-0.02524,-0.00621,0.00199,0.00103,-0.00080,1.66415,-0.00043,-0.00002,-0.06114,0.01962,-0.00128,0.00128,0.01254,0.86003,0,-0.00622,0.00200,-0.09327,0.47005,-0.00295,-0.00023,0.00088,0
0.0080,-0.51123,-0.02524,-0.00621,0.00199,0.00161,-0.00131,1.66415,-0.00057,-0.00003,-0.06112,0.01960,-0.00192,0.00192,0.01257,0.86006,0,-0.00622,0.00200,-0.09327,0.47005,-0.00295,-0.00023,0.00088,0
0.0100,-0.51123,-0.02524,-0.00621,0.00199,0.00230,-0.00192,1.66415,-0.00071,-0.00004,-0.06108,0.01957,-0.00269,0.00269,0.01253,0.86003,0,-0.00622,0.00200,-0.09327,0.47005,-0.00295,-0.00023,0.00088,0
0.0121,-0.51123,-0.02524,-0.00620,0.00198,0.00311,-0.00266,1.66415,-0.00086,-0.00004,-0.06103,0.01953,-0.00358,0.00358,0.01250,0.86007,0,-0.00622,0.00200,-0.09327,0.47005,-0.00295,-0.00023,0.00088,0
0.0141,-0.51123,-0.02524,-0.00619,0.00198,0.00403,-0.00351,1.66415,-0.00100,-0.00005,-0.06096,0.01946,-0.00461,0.00461,0.01250,0.86008,0,-0.00622,0.00200,-0.09327,0.47005,-0.00295,-0.00023,0.00088,0
0.0161,-0.51123,-0.02524,-0.00619,0.00197,0.00507,-0.00447,1.66415,-0.00115,-0.00006,-0.06087,0.01939,-0.00576,0.00576,0.01249,0.86006,0,-0.00622,0.00200,-0.09327,0.47005,-0.00295,-0.00023,0.00088,0
0.0181,-0.51123,-0.02524,-0.00617,0.00196,0.00623,-0.00555,1.66415,-0.00129,-0.00006,-0.06076,0.01929,-0.00704,0.00704,0.01250,0.86008,0,-0.00622,0.00200,-0.09327,0.47005,-0.00295,-0.00023,0.00088,0
