t,height,roll_deg,pitch_deg,yaw_deg,x_cam,y_cam,z_cam,marker_id,height_relative_m,height_relative_mm
2.00711,0.56659,174.251,-3.329,-178.527,-0.10672,0.23754,0.56659,8,0.03005669,30.05669
2.04074,0.56693,174.328,-3.37,-178.488,-0.10689,0.23763,0.56693,8,0.02971669,29.71669
2.0707,0.56747,174.252,-3.159,-178.516,-0.1068,0.23758,0.56747,8,0.02917669,29.17669
2.1096,0.56636,174.326,-3.413,-178.599,-0.10651,0.23755,0.56636,8,0.03028669,30.28669
2.13746,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
2.17085,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
2.20748,0.56659,174.251,-3.329,-178.527,-0.10672,0.23754,0.56659,8,0.03005669,30.05669
2.23994,0.56629,174.268,-3.432,-178.537,-0.10666,0.23735,0.56629,8,0.03035669,30.35669
2.27277,0.56622,174.521,-3.549,-178.506,-0.1069,0.23771,0.56622,8,0.03042669,30.42669
2.30759,0.56681,174.321,-3.342,-178.513,-0.10693,0.23764,0.56681,8,0.02983669,29.83669
2.33992,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
2.37158,0.56731,174.37,-3.124,-178.56,-0.10673,0.23762,0.56731,8,0.02933669,29.33669
2.41111,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
2.438,0.56715,174.399,-3.384,-178.474,-0.1071,0.23772,0.56715,8,0.02949669,29.49669
2.47604,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
2.50725,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
2.5429,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
2.57479,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
2.60647,0.56659,174.251,-3.329,-178.527,-0.10672,0.23754,0.56659,8,0.03005669,30.05669
2.64514,0.56693,174.328,-3.37,-178.488,-0.10689,0.23763,0.56693,8,0.02971669,29.71669
2.67362,0.56728,174.057,-3.153,-178.51,-0.1067,0.23746,0.56728,8,0.02936669,29.36669
2.70743,0.56654,174.521,-3.421,-178.605,-0.10661,0.23768,0.56654,8,0.03010669,30.10669
2.74589,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
2.77477,0.5663,174.581,-3.407,-178.587,-0.10669,0.23751,0.5663,8,0.03034669,30.34669
2.80618,0.56699,174.516,-3.35,-178.518,-0.10702,0.23776,0.56699,8,0.02965669,29.65669
2.84615,0.5663,174.581,-3.407,-178.587,-0.10669,0.23751,0.5663,8,0.03034669,30.34669
2.8743,0.56659,174.251,-3.329,-178.527,-0.10672,0.23754,0.56659,8,0.03005669,30.05669
2.9067,0.56693,174.328,-3.37,-178.488,-0.10689,0.23763,0.56693,8,0.02971669,29.71669
2.94546,0.56622,174.521,-3.549,-178.506,-0.1069,0.23771,0.56622,8,0.03042669,30.42669
2.97578,0.56681,174.321,-3.342,-178.513,-0.10693,0.23764,0.56681,8,0.02983669,29.83669
3.00552,0.56693,174.328,-3.37,-178.488,-0.10689,0.23763,0.56693,8,0.02971669,29.71669
3.04345,0.56659,174.251,-3.329,-178.527,-0.10672,0.23754,0.56659,8,0.03005669,30.05669
3.07491,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
3.11144,0.56622,174.521,-3.549,-178.506,-0.1069,0.23771,0.56622,8,0.03042669,30.42669
3.14156,0.56622,174.521,-3.549,-178.506,-0.1069,0.23771,0.56622,8,0.03042669,30.42669
3.17627,0.56638,174.404,-3.581,-178.461,-0.10697,0.23767,0.56638,8,0.03026669,30.26669
3.21036,0.56699,174.516,-3.35,-178.518,-0.10702,0.23776,0.56699,8,0.02965669,29.65669
3.24206,0.56636,174.18,-3.316,-178.542,-0.10651,0.23745,0.56636,8,0.03028669,30.28669
3.27379,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
3.3118,0.56622,174.521,-3.549,-178.506,-0.1069,0.23771,0.56622,8,0.03042669,30.42669
3.34207,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
3.37355,0.5663,174.581,-3.407,-178.587,-0.10669,0.23751,0.5663,8,0.03034669,30.34669
3.4107,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
3.44372,0.56659,174.251,-3.329,-178.527,-0.10672,0.23754,0.56659,8,0.03005669,30.05669
