t,height,roll_deg,pitch_deg,yaw_deg,x_cam,y_cam,z_cam,marker_id
2.5403,0.56514,174.467,-2.833,-176.327,-0.10972,0.23319,0.56514,8
2.57314,0.56514,174.467,-2.833,-176.327,-0.10972,0.23319,0.56514,8
2.60952,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
2.6403,0.56428,174.872,-3.126,-176.41,-0.10967,0.23301,0.56428,8
2.67113,0.56427,174.807,-3.167,-176.456,-0.10976,0.23288,0.56427,8
2.70697,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
2.7407,0.56475,174.874,-3.053,-176.431,-0.10973,0.23315,0.56475,8
2.77037,0.56481,174.602,-2.956,-176.356,-0.10984,0.23302,0.56481,8
2.80693,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
2.83785,0.56476,174.554,-3.079,-176.382,-0.10971,0.233,0.56476,8
2.87002,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
2.90593,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
2.93912,0.56476,174.554,-3.079,-176.382,-0.10971,0.233,0.56476,8
2.97253,0.56405,174.877,-3.256,-176.527,-0.10956,0.23289,0.56405,8
3.00646,0.56444,174.754,-3.161,-176.365,-0.10974,0.23297,0.56444,8
3.03924,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
3.07545,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
3.10645,0.56475,174.874,-3.053,-176.431,-0.10973,0.23315,0.56475,8
3.13789,0.56518,174.596,-2.821,-176.453,-0.10956,0.233,0.56518,8
3.17235,0.56481,174.602,-2.956,-176.356,-0.10984,0.23302,0.56481,8
3.20666,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
3.23986,0.56428,174.872,-3.126,-176.41,-0.10967,0.23301,0.56428,8
3.27661,0.56449,174.433,-3.217,-176.372,-0.10976,0.23307,0.56449,8
3.3087,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
3.3381,0.56405,174.877,-3.256,-176.527,-0.10956,0.23289,0.56405,8
3.3768,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
3.40704,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
3.43867,0.56514,174.467,-2.833,-176.327,-0.10972,0.23319,0.56514,8
3.47682,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
3.50801,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
3.53833,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
3.57662,0.56476,174.554,-3.079,-176.382,-0.10971,0.233,0.56476,8
3.60705,0.56428,174.872,-3.126,-176.41,-0.10967,0.23301,0.56428,8
3.63771,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
3.6775,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
3.70649,0.56507,174.354,-2.997,-176.399,-0.10968,0.23303,0.56507,8
3.74429,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
3.77644,0.56491,174.472,-2.962,-176.443,-0.10961,0.23307,0.56491,8
3.80859,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
3.84387,0.56571,174.389,-2.61,-176.354,-0.10964,0.23315,0.56571,8
3.87407,0.56481,174.602,-2.956,-176.356,-0.10984,0.23302,0.56481,8
3.9061,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
3.94375,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
3.97406,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
4.00843,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
4.04495,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
5.54761,0.59742,169.641,-4.244,-175.114,-0.1058,0.24174,0.59742,8
5.58092,0.59106,174.229,-4.082,-177.377,-0.10148,0.24396,0.59106,8
5.61286,0.59226,175.213,-1.636,-176.882,-0.10396,0.24455,0.59226,8
5.64762,0.59178,174.911,-1.636,-176.901,-0.10364,0.2443,0.59178,8
5.67998,0.59201,175.134,-1.63,-176.901,-0.10374,0.24444,0.59201,8
5.71027,0.59152,175.083,-1.877,-176.969,-0.10359,0.24453,0.59152,8
