t,height,roll_deg,pitch_deg,yaw_deg,x_cam,y_cam,z_cam,marker_id,height_relative_m,height_relative_mm
4.06824,0.59155,177.541,-0.425,-176.931,-0.07825,0.23418,0.59155,8,0.00509669,5.09669
4.10090,0.59305,176.953,0.019,-176.918,-0.07823,0.23432,0.59305,8,0.00359669,3.59669
4.13579,0.59243,177.069,-0.248,-176.895,-0.07834,0.23407,0.59243,8,0.00421669,4.21669
4.16799,0.59233,177.277,-0.24,-176.915,-0.07821,0.23409,0.59233,8,0.00431669,4.31669
4.20039,0.59243,177.06,-0.262,-176.895,-0.07834,0.23437,0.59243,8,0.00421669,4.21669
4.23769,0.59258,177.351,-0.235,-176.892,-0.07841,0.23418,0.59258,8,0.00406669,4.06669
4.26725,0.59233,177.277,-0.24,-176.915,-0.07821,0.23409,0.59233,8,0.00431669,4.31669
4.30477,0.59243,177.06,-0.262,-176.895,-0.07834,0.23437,0.59243,8,0.00421669,4.21669
4.33558,0.59284,177.045,-0.05,-176.876,-0.0784,0.23427,0.59284,8,0.00380669,3.80669
4.36881,0.59226,177.195,-0.429,-176.836,-0.07845,0.2343,0.59226,8,0.00438669,4.38669
4.40512,0.59233,177.277,-0.24,-176.915,-0.07821,0.23409,0.59233,8,0.00431669,4.31669
4.43478,0.59313,177.166,-0.139,-176.836,-0.07854,0.23435,0.59313,8,0.00351669,3.51669
4.46825,0.59233,177.277,-0.24,-176.915,-0.07821,0.23409,0.59233,8,0.00431669,4.31669
4.50488,0.5925,177.066,-0.247,-177.009,-0.07798,0.23414,0.5925,8,0.00414669,4.14669
4.53450,0.59221,177.151,-0.336,-176.853,-0.07851,0.23432,0.59221,8,0.00443669,4.43669
4.56709,0.59257,176.9,-0.365,-176.858,-0.07841,0.23432,0.59257,8,0.00407669,4.07669
4.60475,0.59165,177.334,-0.433,-176.91,-0.07838,0.23416,0.59165,8,0.00499669,4.99669
4.63630,0.59203,177.155,-0.151,-176.955,-0.07807,0.23402,0.59203,8,0.00461669,4.61669
4.66770,0.59073,177.563,-0.715,-177.045,-0.07811,0.2339,0.59073,8,0.00591669,5.91669
4.70526,0.59274,177.253,-0.04,-176.896,-0.07827,0.2343,0.59274,8,0.00390669,3.90669
4.73638,0.59218,176.994,-0.255,-176.918,-0.07814,0.23397,0.59218,8,0.00446669,4.46669
4.76797,0.59319,176.793,-0.087,-176.881,-0.0783,0.23427,0.59319,8,0.00345669,3.45669
4.80522,0.59243,177.06,-0.262,-176.895,-0.07834,0.23437,0.59243,8,0.00421669,4.21669
4.83538,0.59218,177.439,-0.135,-176.952,-0.07814,0.23414,0.59218,8,0.00446669,4.46669
4.87142,0.59211,177.356,-0.326,-176.873,-0.07838,0.23435,0.59211,8,0.00453669,4.53669
4.90654,0.59257,176.9,-0.365,-176.858,-0.07841,0.23432,0.59257,8,0.00407669,4.07669
4.93456,0.59229,177.229,-0.143,-176.932,-0.07827,0.23411,0.59229,8,0.00435669,4.35669
4.97171,0.59288,177.091,-0.147,-176.859,-0.07834,0.23425,0.59288,8,0.00376669,3.76669
5.00433,0.59274,177.253,-0.04,-176.896,-0.07827,0.2343,0.59274,8,0.00390669,3.90669
5.03618,0.59218,177.439,-0.135,-176.952,-0.07814,0.23414,0.59218,8,0.00446669,4.46669
5.07400,0.59251,177.27,-0.425,-176.813,-0.07865,0.23439,0.59251,8,0.00413669,4.13669
5.10256,0.59188,177.244,-0.358,-176.952,-0.07821,0.23421,0.59188,8,0.00476669,4.76669
5.13704,0.59233,177.277,-0.24,-176.915,-0.07821,0.23409,0.59233,8,0.00431669,4.31669
5.17131,0.59218,177.439,-0.135,-176.952,-0.07814,0.23414,0.59218,8,0.00446669,4.46669
5.20575,0.59165,177.586,-0.517,-177.027,-0.07813,0.23393,0.59165,8,0.00499669,4.99669
5.23569,0.59274,177.253,-0.04,-176.896,-0.07827,0.2343,0.59274,8,0.00390669,3.90669
5.27256,0.59226,177.195,-0.429,-176.836,-0.07845,0.2343,0.59226,8,0.00438669,4.38669
5.30319,0.59274,177.253,-0.04,-176.896,-0.07827,0.2343,0.59274,8,0.00390669,3.90669
5.34038,0.59251,177.27,-0.425,-176.813,-0.07865,0.23439,0.59251,8,0.00413669,4.13669
5.37383,0.59305,176.953,0.019,-176.918,-0.07823,0.23432,0.59305,8,0.00359669,3.59669
5.40457,0.59194,177.455,-0.523,-176.871,-0.07852,0.23423,0.59194,8,0.00470669,4.70669
5.43861,0.59274,177.253,-0.04,-176.896,-0.07827,0.2343,0.59274,8,0.00390669,3.90669
5.47132,0.59319,176.793,-0.087,-176.881,-0.0783,0.23427,0.59319,8,0.00345669,3.45669
5.50526,0.5915,177.749,-0.415,-177.065,-0.07806,0.23397,0.5915,8,0.00514669,5.14669
5.54051,0.59258,177.351,-0.235,-176.892,-0.07841,0.23418,0.59258,8,0.00406669,4.06669
5.57344,0.59101,177.686,-0.806,-177.006,-0.07824,0.23397,0.59101,8,0.00563669,5.63669
5.60362,0.59251,177.27,-0.425,-176.813,-0.07865,0.23439,0.59251,8,0.00413669,4.13669
5.63987,0.59288,177.091,-0.147,-176.859,-0.07834,0.23425,0.59288,8,0.00376669,3.76669
5.67274,0.59243,177.06,-0.262,-176.895,-0.07834,0.23437,0.59243,8,0.00421669,4.21669
5.70395,0.59274,177.253,-0.04,-176.896,-0.07827,0.2343,0.59274,8,0.00390669,3.90669
5.73988,0.59233,177.277,-0.24,-176.915,-0.07821,0.23409,0.59233,8,0.00431669,4.31669
5.77261,0.59218,177.439,-0.135,-176.952,-0.07814,0.23414,0.59218,8,0.00446669,4.46669
5.80336,0.59288,177.091,-0.147,-176.859,-0.07834,0.23425,0.59288,8,0.00376669,3.76669
5.83961,0.5925,177.138,-0.073,-176.974,-0.0781,0.23416,0.5925,8,0.00414669,4.14669
5.87157,0.59305,176.953,0.019,-176.918,-0.07823,0.23432,0.59305,8,0.00359669,3.59669
5.90964,0.59288,177.091,-0.147,-176.859,-0.07834,0.23425,0.59288,8,0.00376669,3.76669
5.93995,0.59305,176.953,0.019,-176.918,-0.07823,0.23432,0.59305,8,0.00359669,3.59669
5.97323,0.59305,176.953,0.019,-176.918,-0.07823,0.23432,0.59305,8,0.00359669,3.59669
6.00717,0.59194,177.455,-0.523,-176.871,-0.07852,0.23423,0.59194,8,0.00470669,4.70669
6.04017,0.59228,177.16,-0.454,-176.892,-0.07849,0.23425,0.59228,8,0.00436669,4.36669
6.07459,0.59165,177.586,-0.517,-177.027,-0.07813,0.23393,0.59165,8,0.00499669,4.99669
6.10962,0.59313,177.166,-0.139,-176.836,-0.07854,0.23435,0.59313,8,0.00351669,3.51669
6.14065,0.59288,177.091,-0.147,-176.859,-0.07834,0.23425,0.59288,8,0.00376669,3.76669
6.17672,0.59288,177.091,-0.147,-176.859,-0.07834,0.23425,0.59288,8,0.00376669,3.76669
6.20889,0.59218,177.439,-0.135,-176.952,-0.07814,0.23414,0.59218,8,0.00446669,4.46669
6.24074,0.59305,176.953,0.019,-176.918,-0.07823,0.23432,0.59305,8,0.00359669,3.59669
6.27148,0.59319,176.793,-0.087,-176.881,-0.0783,0.23427,0.59319,8,0.00345669,3.45669
6.30877,0.59179,177.616,-0.424,-176.908,-0.07845,0.23427,0.59179,8,0.00485669,4.85669
6.34010,0.59233,177.277,-0.24,-176.915,-0.07821,0.23409,0.59233,8,0.00431669,4.31669
6.38152,0.59345,176.868,-0.078,-176.858,-0.0785,0.23436,0.59345,8,0.00319669,3.19669
6.40690,0.59233,177.277,-0.24,-176.915,-0.07821,0.23409,0.59233,8,0.00431669,4.31669
6.43951,0.5917,177.38,-0.526,-176.893,-0.07832,0.23414,0.5917,8,0.00494669,4.94669
6.47591,0.59305,176.953,0.019,-176.918,-0.07823,0.23432,0.59305,8,0.00359669,3.59669
6.50942,0.59288,177.091,-0.147,-176.859,-0.07834,0.23425,0.59288,8,0.00376669,3.76669
6.54014,0.59274,177.253,-0.04,-176.896,-0.07827,0.2343,0.59274,8,0.00390669,3.90669
6.57508,0.59274,177.253,-0.04,-176.896,-0.07827,0.2343,0.59274,8,0.00390669,3.90669
6.60835,0.59233,177.277,-0.24,-176.915,-0.07821,0.23409,0.59233,8,0.00431669,4.31669
6.63927,0.59288,177.091,-0.147,-176.859,-0.07834,0.23425,0.59288,8,0.00376669,3.76669
6.67576,0.59305,176.953,0.019,-176.918,-0.07823,0.23432,0.59305,8,0.00359669,3.59669
6.70669,0.59226,177.195,-0.429,-176.836,-0.07845,0.2343,0.59226,8,0.00438669,4.38669
6.74011,0.59274,177.253,-0.04,-176.896,-0.07827,0.2343,0.59274,8,0.00390669,3.90669
6.77511,0.59257,176.9,-0.365,-176.858,-0.07841,0.23432,0.59257,8,0.00407669,4.07669
6.80672,0.59274,177.253,-0.04,-176.896,-0.07827,0.2343,0.59274,8,0.00390669,3.90669
6.83912,0.5925,177.138,-0.073,-176.974,-0.0781,0.23416,0.5925,8,0.00414669,4.14669
6.87718,0.59319,176.793,-0.087,-176.881,-0.0783,0.23427,0.59319,8,0.00345669,3.45669
6.90868,0.59274,177.253,-0.04,-176.896,-0.07827,0.2343,0.59274,8,0.00390669,3.90669
6.94279,0.59265,176.977,-0.178,-176.937,-0.07817,0.23411,0.59265,8,0.00399669,3.99669
6.97554,0.59218,177.439,-0.135,-176.952,-0.07814,0.23414,0.59218,8,0.00446669,4.46669
7.00832,0.59274,177.253,-0.04,-176.896,-0.07827,0.2343,0.59274,8,0.00390669,3.90669
7.04297,0.59226,177.195,-0.429,-176.836,-0.07845,0.2343,0.59226,8,0.00438669,4.38669
7.07855,0.59313,177.166,-0.139,-176.836,-0.07854,0.23435,0.59313,8,0.00351669,3.51669
7.10753,0.59319,176.793,-0.087,-176.881,-0.0783,0.23427,0.59319,8,0.00345669,3.45669
7.14325,0.59194,177.455,-0.523,-176.871,-0.07852,0.23423,0.59194,8,0.00470669,4.70669
7.17549,0.59274,177.253,-0.04,-176.896,-0.07827,0.2343,0.59274,8,0.00390669,3.90669
7.21016,0.59194,177.455,-0.523,-176.871,-0.07852,0.23423,0.59194,8,0.00470669,4.70669
7.24468,0.59218,177.439,-0.135,-176.952,-0.07814,0.23414,0.59218,8,0.00446669,4.46669
7.27491,0.59298,177.254,-0.21,-176.908,-0.07834,0.23438,0.59298,8,0.00366669,3.66669
7.31039,0.59164,177.261,-0.609,-176.945,-0.07826,0.23414,0.59164,8,0.00500669,5.00669
7.34338,0.59233,177.277,-0.24,-176.915,-0.07821,0.23409,0.59233,8,0.00431669,4.31669
7.37880,0.59305,176.953,0.019,-176.918,-0.07823,0.23432,0.59305,8,0.00359669,3.59669
7.41177,0.59233,177.277,-0.24,-176.915,-0.07821,0.23409,0.59233,8,0.00431669,4.31669
7.44267,0.59211,177.356,-0.326,-176.873,-0.07838,0.23435,0.59211,8,0.00453669,4.53669
7.47626,0.59288,177.091,-0.147,-176.859,-0.07834,0.23425,0.59288,8,0.00376669,3.76669
7.51033,0.59288,177.091,-0.147,-176.859,-0.07834,0.23425,0.59288,8,0.00376669,3.76669
7.54430,0.59233,177.277,-0.24,-176.915,-0.07821,0.23409,0.59233,8,0.00431669,4.31669
7.57651,0.59274,177.253,-0.04,-176.896,-0.07827,0.2343,0.59274,8,0.00390669,3.90669
7.61181,0.59199,177.287,-0.451,-177.048,-0.0781,0.23396,0.59199,8,0.00465669,4.65669
7.64447,0.59233,177.277,-0.24,-176.915,-0.07821,0.23409,0.59233,8,0.00431669,4.31669
7.67600,0.59305,176.953,0.019,-176.918,-0.07823,0.23432,0.59305,8,0.00359669,3.59669
7.71234,0.59299,177.327,-0.032,-176.872,-0.07847,0.23439,0.59299,8,0.00365669,3.65669
7.74264,0.59288,177.091,-0.147,-176.859,-0.07834,0.23425,0.59288,8,0.00376669,3.76669
7.77553,0.59236,177.431,-0.323,-176.851,-0.07858,0.23444,0.59236,8,0.00428669,4.28669
7.81230,0.59211,177.356,-0.326,-176.873,-0.07838,0.23435,0.59211,8,0.00453669,4.53669
7.84301,0.59257,176.9,-0.365,-176.858,-0.07841,0.23432,0.59257,8,0.00407669,4.07669
7.87582,0.59288,177.091,-0.147,-176.859,-0.07834,0.23425,0.59288,8,0.00376669,3.76669
7.91061,0.59281,177.336,0.152,-176.974,-0.07803,0.23409,0.59281,8,0.00383669,3.83669
7.94364,0.59226,177.195,-0.429,-176.836,-0.07845,0.2343,0.59226,8,0.00438669,4.38669
7.98071,0.5917,177.38,-0.526,-176.893,-0.07832,0.23414,0.5917,8,0.00494669,4.94669
