t,height,roll_deg,pitch_deg,yaw_deg,x_cam,y_cam,z_cam,marker_id
0.03093,0.54942,177.553,-0.673,-176.115,-0.0572,0.21616,0.54942,8
0.06363,0.54881,177.662,-0.952,-176.094,-0.05732,0.21621,0.54881,8
0.10215,0.54882,177.369,-0.942,-176.095,-0.05728,0.21613,0.54882,8
0.13236,0.54941,177.258,-0.666,-176.116,-0.05715,0.21609,0.54941,8
0.16435,0.54882,177.369,-0.942,-176.095,-0.05728,0.21613,0.54882,8
0.20121,0.54823,177.561,-1.059,-176.15,-0.05717,0.21598,0.54823,8
0.23116,0.54881,177.662,-0.952,-176.094,-0.05732,0.21621,0.54881,8
0.26372,0.54941,177.258,-0.666,-176.116,-0.05715,0.21609,0.54941,8
0.29986,0.54882,177.369,-0.942,-176.095,-0.05728,0.21613,0.54882,8
0.33369,0.54882,177.369,-0.942,-176.095,-0.05728,0.21613,0.54882,8
0.36764,0.54821,177.858,-1.074,-176.15,-0.05721,0.21605,0.54821,8
0.40101,0.54882,177.369,-0.942,-176.095,-0.05728,0.21613,0.54882,8
0.43376,0.54881,177.662,-0.952,-176.094,-0.05732,0.21621,0.54881,8
0.46804,0.54942,177.553,-0.673,-176.115,-0.0572,0.21616,0.54942,8
0.50043,0.54882,177.369,-0.942,-176.095,-0.05728,0.21613,0.54882,8
0.53328,0.54881,177.662,-0.952,-176.094,-0.05732,0.21621,0.54881,8
0.56947,0.54942,177.553,-0.673,-176.115,-0.0572,0.21616,0.54942,8
0.60014,0.54809,177.924,-1.133,-176.214,-0.05703,0.21607,0.54809,8
0.63303,0.54882,177.369,-0.942,-176.095,-0.05728,0.21613,0.54882,8
0.66864,0.54881,177.662,-0.952,-176.094,-0.05732,0.21621,0.54881,8
0.70154,0.54823,177.561,-1.059,-176.15,-0.05717,0.21598,0.54823,8
0.73232,0.54882,177.369,-0.942,-176.095,-0.05728,0.21613,0.54882,8
0.7687,0.54884,177.451,-0.78,-176.171,-0.05704,0.21593,0.54884,8
0.80104,0.54823,177.561,-1.059,-176.15,-0.05717,0.21598,0.54823,8
0.83182,0.54941,177.258,-0.666,-176.116,-0.05715,0.21609,0.54941,8
0.86891,0.54881,177.662,-0.952,-176.094,-0.05732,0.21621,0.54881,8
0.90098,0.54882,177.369,-0.942,-176.095,-0.05728,0.21613,0.54882,8
0.93667,0.54882,177.369,-0.942,-176.095,-0.05728,0.21613,0.54882,8
0.96817,0.54881,177.662,-0.952,-176.094,-0.05732,0.21621,0.54881,8
1.00151,0.54821,177.858,-1.074,-176.15,-0.05721,0.21605,0.54821,8
1.03711,0.54941,177.258,-0.666,-176.116,-0.05715,0.21609,0.54941,8
1.06805,0.54941,177.258,-0.666,-176.116,-0.05715,0.21609,0.54941,8
1.09986,0.54864,177.816,-0.855,-176.128,-0.05725,0.21624,0.54864,8
1.13626,0.54942,177.553,-0.673,-176.115,-0.0572,0.21616,0.54942,8
1.16748,0.54881,177.662,-0.952,-176.094,-0.05732,0.21621,0.54881,8
1.19986,0.54821,177.858,-1.074,-176.15,-0.05721,0.21605,0.54821,8
1.2362,0.54881,177.662,-0.952,-176.094,-0.05732,0.21621,0.54881,8
1.27008,0.549,177.722,-0.956,-176.072,-0.05749,0.21627,0.549,8
1.3023,0.54881,177.662,-0.952,-176.094,-0.05732,0.21621,0.54881,8
1.33775,0.54942,177.553,-0.673,-176.115,-0.0572,0.21616,0.54942,8
1.36813,0.54881,177.662,-0.952,-176.094,-0.05732,0.21621,0.54881,8
1.4031,0.54882,177.369,-0.942,-176.095,-0.05728,0.21613,0.54882,8
1.43604,0.54881,177.662,-0.952,-176.094,-0.05732,0.21621,0.54881,8
1.46949,0.5487,177.438,-0.999,-176.158,-0.0571,0.21616,0.5487,8
1.50585,0.54925,177.708,-0.572,-176.149,-0.05712,0.2162,0.54925,8
