t,height,roll_deg,pitch_deg,yaw_deg,x_cam,y_cam,z_cam,marker_id,height_relative_m,height_relative_mm
1.99619,0.5663,174.581,-3.407,-178.587,-0.10669,0.23751,0.5663,8,0.03034669,30.34669
2.03334,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
2.06636,0.56659,174.251,-3.329,-178.527,-0.10672,0.23754,0.56659,8,0.03005669,30.05669
2.09798,0.56693,174.328,-3.37,-178.488,-0.10689,0.23763,0.56693,8,0.02971669,29.71669
2.13441,0.56659,174.251,-3.329,-178.527,-0.10672,0.23754,0.56659,8,0.03005669,30.05669
2.16672,0.56622,174.521,-3.549,-178.506,-0.1069,0.23771,0.56622,8,0.03042669,30.42669
2.20583,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
2.23209,0.56731,174.37,-3.124,-178.56,-0.10673,0.23762,0.56731,8,0.02933669,29.33669
2.26594,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
2.30007,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
2.33411,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
2.36956,0.56693,174.328,-3.37,-178.488,-0.10689,0.23763,0.56693,8,0.02971669,29.71669
2.40008,0.56693,174.328,-3.37,-178.488,-0.10689,0.23763,0.56693,8,0.02971669,29.71669
2.43222,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
2.46976,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
2.50040,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
2.53453,0.56622,174.521,-3.549,-178.506,-0.1069,0.23771,0.56622,8,0.03042669,30.42669
2.56586,0.56659,174.251,-3.329,-178.527,-0.10672,0.23754,0.56659,8,0.03005669,30.05669
2.60033,0.56638,174.404,-3.581,-178.461,-0.10697,0.23767,0.56638,8,0.03026669,30.26669
2.63282,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
2.66558,0.56622,174.521,-3.549,-178.506,-0.1069,0.23771,0.56622,8,0.03042669,30.42669
2.70098,0.5666,174.475,-3.596,-178.447,-0.10718,0.23776,0.5666,8,0.03004669,30.04669
2.73256,0.5674,173.973,-3.039,-178.571,-0.1066,0.23751,0.5674,8,0.02924669,29.24669
2.77262,0.56715,174.399,-3.384,-178.474,-0.1071,0.23772,0.56715,8,0.02949669,29.49669
2.80156,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
2.83231,0.5662,174.21,-3.572,-178.456,-0.10687,0.23755,0.5662,8,0.03044669,30.44669
2.87063,0.56693,174.328,-3.37,-178.488,-0.10689,0.23763,0.56693,8,0.02971669,29.71669
2.90483,0.56693,174.328,-3.37,-178.488,-0.10689,0.23763,0.56693,8,0.02971669,29.71669
2.93565,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
2.96893,0.56622,174.521,-3.549,-178.506,-0.1069,0.23771,0.56622,8,0.03042669,30.42669
3.00142,0.56636,174.326,-3.413,-178.599,-0.10651,0.23755,0.56636,8,0.03028669,30.28669
3.03263,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
3.07042,0.56654,174.521,-3.421,-178.605,-0.10661,0.23768,0.56654,8,0.03010669,30.10669
3.10030,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
3.13435,0.56617,174.46,-3.688,-178.531,-0.10705,0.23767,0.56617,8,0.03047669,30.47669
3.20000,0.60389,171.609,-0.322,-178.288,-0.11399,0.2466,0.60389,8,-0.00724331,-7.24331
3.23313,0.60765,171.887,-1.785,-177.96,-0.11278,0.24996,0.60765,8,-0.01100331,-11.00331
3.26539,0.60459,172.842,-0.382,-177.071,-0.10599,0.25569,0.60459,8,-0.00794331,-7.94331
3.30022,0.59579,175.405,-1.699,-177.451,-0.09991,0.25478,0.59579,8,0.00085669,0.85669
3.33279,0.59976,175.895,-2.225,-177.798,-0.10132,0.25405,0.59976,8,-0.00311331,-3.11331
3.36714,0.61022,175.205,-1.342,-177.834,-0.10399,0.25521,0.61022,8,-0.01357331,-13.57331
3.40820,0.59758,176.125,-2.772,-178.305,-0.10182,0.25107,0.59758,8,-0.00093331,-0.93331
3.43179,0.60098,175.858,-1.641,-178.112,-0.10271,0.25153,0.60098,8,-0.00433331,-4.33331
3.46965,0.59758,175.173,-2.513,-178.063,-0.10182,0.2512,0.59758,8,-0.00093331,-0.93331
3.50012,0.59743,175.531,-2.272,-177.926,-0.10163,0.25146,0.59743,8,-0.00078331,-0.78331
3.53453,0.59721,174.892,-2.06,-177.85,-0.10178,0.25091,0.59721,8,-0.00056331,-0.56331
3.57026,0.59651,175.124,-2.237,-177.869,-0.10181,0.25101,0.59651,8,0.00013669,0.13669
3.60083,0.59625,175.027,-2.253,-177.885,-0.10189,0.2509,0.59625,8,0.00039669,0.39669
3.63625,0.59679,174.946,-2.003,-177.911,-0.10148,0.25085,0.59679,8,-0.00014331,-0.14331
3.66985,0.59606,175.002,-2.089,-177.984,-0.10144,0.25058,0.59606,8,0.00058669,0.58669
3.70265,0.59633,175.083,-2.092,-177.967,-0.10135,0.251,0.59633,8,0.00031669,0.31669
3.73620,0.59601,175.402,-2.323,-177.943,-0.10187,0.25089,0.59601,8,0.00063669,0.63669
3.76853,0.59673,174.633,-1.925,-177.834,-0.10158,0.25066,0.59673,8,-0.00008331,-0.08331
3.80083,0.59736,174.707,-1.781,-177.918,-0.1015,0.25075,0.59736,8,-0.00071331,-0.71331
3.84042,0.59703,175.028,-2.006,-177.78,-0.10208,0.25089,0.59703,8,-0.00038331,-0.38331
3.86868,0.59701,174.712,-1.925,-177.816,-0.10181,0.25078,0.59701,8,-0.00036331,-0.36331
3.90012,0.59657,175.165,-2.097,-177.835,-0.10195,0.25104,0.59657,8,0.00007669,0.07669
3.93631,0.59671,175.032,-2.15,-177.792,-0.10201,0.25099,0.59671,8,-0.00006331,-0.06331
3.97049,0.59701,174.712,-1.925,-177.816,-0.10181,0.25078,0.59701,8,-0.00036331,-0.36331
4.00028,0.59633,174.945,-2.1,-177.834,-0.10184,0.25089,0.59633,8,0.00031669,0.31669
4.04123,0.59633,174.945,-2.1,-177.834,-0.10184,0.25089,0.59633,8,0.00031669,0.31669
4.07015,0.59671,175.032,-2.15,-177.792,-0.10201,0.25099,0.59671,8,-0.00006331,-0.06331
4.10721,0.59546,175.2,-2.447,-177.954,-0.10171,0.25054,0.59546,8,0.00118669,1.18669
4.13663,0.59656,174.865,-1.993,-177.872,-0.10169,0.25063,0.59656,8,0.00008669,0.08669
4.16990,0.59647,175.126,-2.239,-177.755,-0.10218,0.25094,0.59647,8,0.00017669,0.17669
4.20534,0.59651,175.124,-2.237,-177.869,-0.10181,0.25101,0.59651,8,0.00013669,0.13669
4.23633,0.59578,175.18,-2.323,-177.941,-0.10177,0.25074,0.59578,8,0.00086669,0.86669
4.26827,0.59701,174.712,-1.925,-177.816,-0.10181,0.25078,0.59701,8,-0.00036331,-0.36331
4.30673,0.59651,175.124,-2.237,-177.869,-0.10181,0.25101,0.59651,8,0.00013669,0.13669
4.33755,0.59629,175.182,-2.22,-177.961,-0.10183,0.2506,0.59629,8,0.00035669,0.35669
4.36904,0.59646,174.812,-2.154,-177.791,-0.10191,0.25083,0.59646,8,0.00018669,0.18669
4.40785,0.59724,174.616,-1.841,-177.854,-0.10164,0.25082,0.59724,8,-0.00059331,-0.59331
4.43794,0.59676,175.029,-2.149,-177.904,-0.10196,0.25075,0.59676,8,-0.00011331,-0.11331
4.46856,0.59674,174.892,-2.157,-177.773,-0.10213,0.25095,0.59674,8,-0.00009331,-0.09331
4.50525,0.59701,174.712,-1.925,-177.816,-0.10181,0.25078,0.59701,8,-0.00036331,-0.36331
4.53680,0.59727,174.933,-1.92,-177.817,-0.10191,0.25093,0.59727,8,-0.00062331,-0.62331
4.56962,0.59755,174.612,-1.698,-177.842,-0.10171,0.25072,0.59755,8,-0.00090331,-0.90331
4.60698,0.59657,175.165,-2.097,-177.835,-0.10195,0.25104,0.59657,8,0.00007669,0.07669
4.63699,0.59701,174.712,-1.925,-177.816,-0.10181,0.25078,0.59701,8,-0.00036331,-0.36331
4.67466,0.59701,174.712,-1.925,-177.816,-0.10181,0.25078,0.59701,8,-0.00036331,-0.36331
4.70630,0.59648,174.949,-2.145,-177.922,-0.10173,0.25064,0.59648,8,0.00016669,0.16669
4.73826,0.59633,174.945,-2.1,-177.834,-0.10184,0.25089,0.59633,8,0.00031669,0.31669
4.77430,0.59633,174.945,-2.1,-177.834,-0.10184,0.25089,0.59633,8,0.00031669,0.31669
4.80652,0.59616,175.268,-2.374,-177.899,-0.10194,0.25084,0.59616,8,0.00048669,0.48669
