t,height,roll_deg,pitch_deg,yaw_deg,x_cam,y_cam,z_cam,marker_id
0.19972,0.54234,176.897,-0.324,-179.421,-0.12014,0.20007,0.54234,8
0.4041,0.5424,176.698,-0.411,-179.403,-0.12004,0.19997,0.5424,8
0.60349,0.54344,176.428,0.137,-179.318,-0.1202,0.20008,0.54344,8
0.80367,0.54344,176.428,0.137,-179.318,-0.1202,0.20008,0.54344,8
1.00325,0.54344,176.428,0.137,-179.318,-0.1202,0.20008,0.54344,8
1.20345,0.54344,176.428,0.137,-179.318,-0.1202,0.20008,0.54344,8
1.40348,0.54344,176.428,0.137,-179.318,-0.1202,0.20008,0.54344,8
1.60389,0.5429,176.436,-0.14,-179.307,-0.12013,0.20006,0.5429,8
1.80363,0.54323,176.376,0.136,-179.338,-0.12003,0.20003,0.54323,8
2.00407,0.5429,176.436,-0.14,-179.307,-0.12013,0.20006,0.5429,8
2.20737,0.5431,176.489,-0.142,-179.287,-0.12031,0.2001,0.5431,8
2.4081,0.54344,176.428,0.137,-179.318,-0.1202,0.20008,0.54344,8
2.60837,0.54344,176.428,0.137,-179.318,-0.1202,0.20008,0.54344,8
2.80849,0.5429,176.436,-0.14,-179.307,-0.12013,0.20006,0.5429,8
3.00724,0.5431,176.489,-0.142,-179.287,-0.12031,0.2001,0.5431,8
