t,phase,th_x,th_y,thd_x,thd_y,vcmd_x,vcmd_y,tcp_x,tcp_y,th_brut_x,th_brut_y
0.0000,0,0.00420,-0.00046,0.00000,0.00000,0.00001,0.00000,0.03192,0.93918,0.00420,-0.00046
0.0020,0,0.00420,-0.00046,-0.00008,0.00001,0.00004,0.00000,0.03192,0.93921,0.00420,-0.00046
0.0040,0,0.00420,-0.00046,-0.00019,0.00002,0.00011,0.00000,0.03193,0.93917,0.00420,-0.00046
0.0060,0,0.00420,-0.00046,-0.00033,0.00003,0.00022,0.00000,0.03190,0.93918,0.00420,-0.00046
0.0080,0,0.00420,-0.00046,-0.00050,0.00003,0.00035,0.00000,0.03192,0.93916,0.00420,-0.00046
0.0100,0,0.00420,-0.00046,-0.00070,0.00004,0.00052,0.00000,0.03190,0.93921,0.00420,-0.00046
0.0120,0,0.00420,-0.00046,-0.00093,0.00005,0.00071,0.00000,0.03193,0.93919,0.00420,-0.00046
0.0140,0,0.00419,-0.00046,-0.00119,0.00006,0.00094,0.00000,0.03192,0.93920,0.00420,-0.00046
0.0160,0,0.00419,-0.00046,-0.00148,0.00007,0.00120,0.00000,0.03191,0.93916,0.00420,-0.00046
0.0180,0,0.00419,-0.00046,-0.00180,0.00008,0.00150,0.00000,0.03191,0.93916,0.00420,-0.00046
0.0200,0,0.00418,-0.00046,-0.00215,0.00008,0.00182,0.00000,0.03192,0.93919,0.00420,-0.00046
0.0220,0,0.00418,-0.00046,-0.00253,0.00009,0.00218,0.00000,0.03196,0.93918,0.00420,-0.00046
0.0241,0,0.00417,-0.00046,-0.00293,0.00010,0.00257,0.00000,0.03202,0.93920,0.00420,-0.00046
0.0261,0,0.00417,-0.00046,-0.00337,0.00011,0.00299,0.00000,0.03195,0.93920,0.00420,-0.00046
0.0281,0,0.00416,-0.00046,-0.00384,0.00012,0.00345,0.00000,0.03191,0.93920,0.00420,-0.00046
0.0301,0,0.00315,-0.00063,-0.00364,0.00017,0.00393,0.00000,0.03192,0.93920,0.00218,-0.00080
0.0321,0,0.00314,-0.00063,-0.00415,0.00018,0.00445,0.00000,0.03196,0.93919,0.00218,-0.00080
0.0341,0,0.00314,-0.00063,-0.00468,0.00019,0.00500,0.00000,0.03200,0.93919,0.00218,-0.00080
0.0361,0,0.00313,-0.00063,-0.00525,0.00021,0.00552,0.00000,0.03199,0.93919,0.00218,-0.00080
0.0381,0,0.00311,-0.00063,-0.00578,0.00022,0.00601,0.00000,0.03198,0.93918,0.00218,-0.00080
0.0401,0,0.00310,-0.00063,-0.00629,0.00023,0.00646,0.00000,0.03201,0.93917,0.00218,-0.00080
0.0421,0,0.00309,-0.00063,-0.00677,0.00024,0.00688,0.00000,0.03201,0.93918,0.00218,-0.00080
0.0441,0,0.00307,-0.00063,-0.00721,0.00025,0.00727,0.00000,0.03204,0.93919,0.00218,-0.00080
0.0461,0,0.00306,-0.00063,-0.00763,0.00026,0.00763,0.00000,0.03204,0.93914,0.00218,-0.00080
0.0481,0,0.00304,-0.00062,-0.00802,0.00027,0.00795,0.00000,0.03206,0.93919,0.00218,-0.00080
0.0501,0,0.00303,-0.00062,-0.00837,0.00029,0.00825,0.00000,0.03210,0.93918,0.00218,-0.00080
0.0522,0,0.00301,-0.00062,-0.00870,0.00030,0.00851,0.00000,0.03211,0.93917,0.00218,-0.00080
0.0542,0,0.00299,-0.00062,-0.00900,0.00031,0.00874,0.00000,0.03209,0.93919,0.00218,-0.00080
0.0562,0,0.00298,-0.00062,-0.00926,0.00032,0.00894,0.00000,0.03211,0.93918,0.00218,-0.00080
0.0582,0,0.00296,-0.00062,-0.00950,0.00033,0.00910,0.00000,0.03219,0.93917,0.00218,-0.00080
0.0602,0,0.00294,-0.00062,-0.00971,0.00034,0.00924,0.00000,0.03213,0.93918,0.00218,-0.00080
