t,phase,th_x,th_y,thd_x,thd_y,vcmd_x,vcmd_y,tcp_x,tcp_y,th_brut_x,th_brut_y
0.0000,0,0.00022,-0.00036,0.00000,0.00000,0.00001,0.00000,0.08272,1.03152,0.00022,-0.00036
0.0020,0,0.00022,-0.00036,-0.00001,0.00001,0.00005,0.00000,0.08272,1.03152,0.00022,-0.00036
0.0040,0,0.00022,-0.00036,-0.00005,0.00001,0.00012,0.00000,0.08271,1.03151,0.00022,-0.00036
0.0060,0,0.00022,-0.00036,-0.00012,0.00002,0.00022,0.00000,0.08270,1.03153,0.00022,-0.00036
0.0080,0,0.00022,-0.00036,-0.00022,0.00003,0.00035,0.00000,0.08269,1.03152,0.00022,-0.00036
0.0100,0,0.00021,-0.00036,-0.00035,0.00003,0.00052,0.00000,0.08277,1.03150,0.00022,-0.00036
0.0120,0,0.00021,-0.00036,-0.00051,0.00004,0.00072,0.00000,0.08270,1.03151,0.00022,-0.00036
0.0140,0,0.00021,-0.00036,-0.00069,0.00005,0.00095,0.00000,0.08266,1.03152,0.00022,-0.00036
0.0160,0,0.00021,-0.00036,-0.00091,0.00005,0.00121,0.00000,0.08270,1.03151,0.00022,-0.00036
0.0180,0,0.00021,-0.00036,-0.00116,0.00006,0.00151,0.00000,0.08268,1.03149,0.00022,-0.00036
0.0200,0,0.00021,-0.00036,-0.00144,0.00007,0.00184,0.00000,0.08272,1.03153,0.00022,-0.00036
0.0220,0,0.00020,-0.00036,-0.00174,0.00007,0.00219,0.00000,0.08265,1.03154,0.00022,-0.00036
0.0240,0,0.00020,-0.00036,-0.00208,0.00008,0.00259,0.00000,0.08268,1.03151,0.00022,-0.00036
0.0260,0,0.00019,-0.00036,-0.00244,0.00008,0.00301,0.00000,0.08269,1.03152,0.00022,-0.00036
0.0280,0,0.00019,-0.00036,-0.00284,0.00009,0.00346,0.00000,0.08274,1.03150,0.00022,-0.00036
0.0300,0,0.00018,-0.00036,-0.00326,0.00010,0.00395,0.00000,0.08277,1.03153,0.00022,-0.00036
0.0320,0,0.00018,-0.00036,-0.00372,0.00010,0.00447,0.00000,0.08274,1.03150,0.00022,-0.00036
0.0340,0,0.00017,-0.00036,-0.00420,0.00011,0.00502,0.00000,0.08278,1.03151,0.00022,-0.00036
0.0361,0,0.00016,-0.00036,-0.00471,0.00012,0.00554,0.00000,0.08280,1.03151,0.00022,-0.00036
0.0381,0,0.00020,-0.00043,-0.00473,0.00015,0.00603,0.00000,0.08274,1.03153,0.00030,-0.00051
0.0401,0,0.00019,-0.00043,-0.00519,0.00016,0.00648,0.00000,0.08274,1.03153,0.00030,-0.00051
0.0421,0,0.00018,-0.00043,-0.00561,0.00017,0.00690,0.00000,0.08286,1.03151,0.00030,-0.00051
0.0441,0,0.00017,-0.00043,-0.00601,0.00017,0.00729,0.00000,0.08286,1.03151,0.00030,-0.00051
0.0461,0,0.00016,-0.00043,-0.00637,0.00018,0.00765,0.00000,0.08292,1.03151,0.00030,-0.00051
0.0481,0,0.00015,-0.00043,-0.00671,0.00019,0.00798,0.00000,0.08291,1.03151,0.00030,-0.00051
0.0501,0,0.00013,-0.00043,-0.00701,0.00020,0.00828,0.00000,0.08283,1.03154,0.00030,-0.00051
0.0521,0,0.00012,-0.00043,-0.00729,0.00020,0.00854,0.00000,0.08291,1.03150,0.00030,-0.00051
0.0541,0,0.00010,-0.00043,-0.00753,0.00021,0.00877,0.00000,0.08292,1.03151,0.00030,-0.00051
0.0561,0,0.00009,-0.00043,-0.00775,0.00022,0.00897,0.00000,0.08290,1.03150,0.00030,-0.00051
0.0581,0,0.00007,-0.00043,-0.00793,0.00023,0.00914,0.00000,0.08296,1.03151,0.00030,-0.00051
0.0601,0,0.00006,-0.00043,-0.00809,0.00024,0.00927,0.00000,0.08299,1.03151,0.00030,-0.00051
0.0621,0,0.00004,-0.00043,-0.00821,0.00024,0.00937,0.00000,0.08296,1.03149,0.00030,-0.00051
0.0641,0,0.00002,-0.00043,-0.00831,0.00025,0.00951,0.00000,0.08300,1.03152,0.00030,-0.00051
0.0661,0,0.00001,-0.00043,-0.00843,0.00026,0.00968,0.00000,0.08299,1.03151,0.00030,-0.00051
0.0681,0,-0.00001,-0.00043,-0.00859,0.00027,0.00987,0.00000,0.08309,1.03152,0.00030,-0.00051
0.0701,0,-0.00003,-0.00042,-0.00877,0.00027,0.01010,0.00000,0.08309,1.03148,0.00030,-0.00051
0.0721,0,-0.00005,-0.00042,-0.00898,0.00028,0.01037,0.00000,0.08310,1.03148,0.00030,-0.00051
0.0741,0,-0.00006,-0.00042,-0.00923,0.00029,0.01066,0.00000,0.08304,1.03151,0.00030,-0.00051
0.0761,0,-0.00008,-0.00042,-0.00950,0.00030,0.01099,0.00000,0.08310,1.03151,0.00030,-0.00051
0.0781,0,-0.00010,-0.00042,-0.00980,0.00030,0.01135,0.00000,0.08317,1.03148,0.00030,-0.00051
0.0801,0,-0.00012,-0.00042,-0.01013,0.00031,0.01174,0.00000,0.08316,1.03149,0.00030,-0.00051
0.0821,0,-0.00014,-0.00042,-0.01049,0.00032,0.01216,0.00000,0.08320,1.03150,0.00030,-0.00051
0.0841,0,-0.00016,-0.00042,-0.01088,0.00033,0.01255,0.00000,0.08320,1.03148,0.00030,-0.00051
0.0861,0,-0.00019,-0.00042,-0.01123,0.00034,0.01291,0.00000,0.08319,1.03149,0.00030,-0.00051
0.0881,0,-0.00021,-0.00042,-0.01156,0.00034,0.01324,0.00000,0.08332,1.03146,0.00030,-0.00051
0.0901,0,-0.00023,-0.00042,-0.01186,0.00035,0.01353,0.00000,0.08337,1.03150,0.00030,-0.00051
0.0921,0,-0.00026,-0.00042,-0.01213,0.00036,0.01380,0.00000,0.08337,1.03148,0.00030,-0.00051
0.0941,0,-0.00028,-0.00042,-0.01237,0.00037,0.01403,0.00000,0.08340,1.03147,0.00030,-0.00051
0.0961,0,-0.00031,-0.00042,-0.01258,0.00037,0.01428,0.00000,0.08343,1.03150,0.00030,-0.00051
0.0981,0,-0.00033,-0.00042,-0.01280,0.00038,0.01456,0.00000,0.08349,1.03148,0.00030,-0.00051
0.1001,0,-0.00036,-0.00041,-0.01305,0.00039,0.01486,0.00000,0.08349,1.03148,0.00030,-0.00051
0.1021,0,-0.00038,-0.00041,-0.01333,0.00040,0.01515,0.00000,0.08355,1.03147,0.00030,-0.00051
0.1041,0,-0.00041,-0.00041,-0.01358,0.00040,0.01543,0.00000,0.08362,1.03148,0.00030,-0.00051
0.1061,0,-0.00012,-0.00048,-0.01086,-0.00021,0.01572,0.00000,0.08361,1.03148,0.00021,-0.00047
0.1081,0,-0.00014,-0.00048,-0.01112,-0.00020,0.01601,0.00000,0.08361,1.03148,0.00021,-0.00047
0.1101,0,-0.00016,-0.00048,-0.01138,-0.00019,0.01629,0.00000,0.08360,1.03150,0.00021,-0.00047
0.1121,0,-0.00019,-0.00048,-0.01165,-0.00018,0.01658,0.00000,0.08368,1.03149,0.00021,-0.00047
0.1141,0,-0.00021,-0.00048,-0.01191,-0.00017,0.01686,0.00000,0.08368,1.03149,0.00021,-0.00047
0.1161,0,-0.00023,-0.00048,-0.01216,-0.00016,0.01714,0.00000,0.08371,1.03148,0.00021,-0.00047
0.1181,0,-0.00026,-0.00048,-0.01242,-0.00015,0.01743,0.00000,0.08375,1.03147,0.00021,-0.00047
0.1201,0,-0.00028,-0.00048,-0.01268,-0.00014,0.01771,0.00000,0.08381,1.03148,0.00021,-0.00047
0.1221,0,-0.00031,-0.00048,-0.01293,-0.00014,0.01799,0.00000,0.08381,1.03148,0.00021,-0.00047
0.1241,0,-0.00034,-0.00048,-0.01319,-0.00013,0.01827,0.00000,0.08388,1.03149,0.00021,-0.00047
0.1261,0,-0.00036,-0.00048,-0.01344,-0.00012,0.01855,0.00000,0.08390,1.03148,0.00021,-0.00047
0.1281,0,-0.00039,-0.00048,-0.01369,-0.00011,0.01883,0.00000,0.08387,1.03146,0.00021,-0.00047
0.1301,0,-0.00042,-0.00048,-0.01395,-0.00010,0.01911,0.00000,0.08403,1.03148,0.00021,-0.00047
0.1321,0,-0.00045,-0.00048,-0.01420,-0.00009,0.01939,0.00000,0.08396,1.03147,0.00021,-0.00047
0.1341,0,-0.00047,-0.00048,-0.01444,-0.00008,0.01967,0.00000,0.08410,1.03145,0.00021,-0.00047
0.1361,0,-0.00050,-0.00048,-0.01469,-0.00007,0.01994,0.00000,0.08417,1.03149,0.00021,-0.00047
0.1381,0,-0.00053,-0.00048,-0.01494,-0.00007,0.02022,0.00000,0.08413,1.03143,0.00021,-0.00047
0.1401,0,-0.00056,-0.00048,-0.01518,-0.00006,0.02049,0.00000,0.08417,1.03147,0.00021,-0.00047
0.1421,0,-0.00059,-0.00048,-0.01543,-0.00005,0.02077,0.00000,0.08416,1.03147,0.00021,-0.00047
0.1441,0,-0.00062,-0.00049,-0.01567,-0.00004,0.02104,0.00000,0.08427,1.03145,0.00021,-0.00047
