t,phase,th_x,th_y,thd_x,thd_y,vcmd_x,vcmd_y,tcp_x,tcp_y,th_brut_x,th_brut_y
0.0000,0,-0.00047,-0.00021,0.00000,0.00000,0.00000,0.00000,0.06717,1.02896,-0.00047,-0.00021
0.0020,0,-0.00047,-0.00021,0.00000,0.00000,0.00004,0.00000,0.06723,1.02896,-0.00047,-0.00021
0.0040,0,-0.00047,-0.00021,-0.00002,0.00001,0.00011,0.00000,0.06722,1.02896,-0.00047,-0.00021
0.0060,0,-0.00047,-0.00021,-0.00007,0.00001,0.00021,0.00000,0.06717,1.02894,-0.00047,-0.00021
0.0080,0,-0.00047,-0.00023,-0.00007,0.00002,0.00034,0.00000,0.06722,1.02900,-0.00048,-0.00024
0.0100,0,-0.00047,-0.00023,-0.00018,0.00002,0.00050,0.00000,0.06718,1.02897,-0.00048,-0.00024
0.0120,0,-0.00047,-0.00023,-0.00032,0.00002,0.00070,0.00000,0.06720,1.02895,-0.00048,-0.00024
0.0140,0,-0.00048,-0.00023,-0.00050,0.00003,0.00093,0.00000,0.06716,1.02896,-0.00048,-0.00024
0.0160,0,-0.00048,-0.00023,-0.00070,0.00003,0.00119,0.00000,0.06720,1.02896,-0.00048,-0.00024
0.0180,0,-0.00048,-0.00023,-0.00093,0.00004,0.00148,0.00000,0.06723,1.02898,-0.00048,-0.00024
0.0200,0,-0.00048,-0.00023,-0.00119,0.00004,0.00181,0.00000,0.06719,1.02899,-0.00048,-0.00024
0.0220,0,-0.00048,-0.00023,-0.00148,0.00005,0.00216,0.00000,0.06723,1.02899,-0.00048,-0.00024
0.0240,0,-0.00049,-0.00023,-0.00180,0.00005,0.00255,0.00000,0.06724,1.02897,-0.00048,-0.00024
0.0260,0,-0.00049,-0.00023,-0.00215,0.00005,0.00297,0.00000,0.06726,1.02898,-0.00048,-0.00024
0.0280,0,-0.00050,-0.00023,-0.00253,0.00006,0.00342,0.00000,0.06724,1.02898,-0.00048,-0.00024
0.0300,0,-0.00050,-0.00023,-0.00294,0.00006,0.00391,0.00000,0.06724,1.02899,-0.00048,-0.00024
0.0320,0,-0.00051,-0.00023,-0.00338,0.00007,0.00442,0.00000,0.06724,1.02896,-0.00048,-0.00024
0.0340,0,-0.00051,-0.00023,-0.00385,0.00007,0.00497,0.00000,0.06725,1.02897,-0.00048,-0.00024
0.0360,0,-0.00052,-0.00023,-0.00435,0.00007,0.00549,0.00000,0.06724,1.02899,-0.00048,-0.00024
0.0380,0,-0.00053,-0.00023,-0.00482,0.00008,0.00597,0.00000,0.06728,1.02898,-0.00048,-0.00024
0.0400,0,-0.00054,-0.00023,-0.00526,0.00008,0.00642,0.00000,0.06728,1.02900,-0.00048,-0.00024
0.0420,0,-0.00055,-0.00023,-0.00566,0.00009,0.00684,0.00000,0.06729,1.02898,-0.00048,-0.00024
0.0440,0,-0.00056,-0.00023,-0.00604,0.00009,0.00723,0.00000,0.06733,1.02897,-0.00048,-0.00024
0.0460,0,-0.00058,-0.00023,-0.00639,0.00010,0.00759,0.00000,0.06738,1.02898,-0.00048,-0.00024
0.0480,0,-0.00059,-0.00023,-0.00671,0.00010,0.00791,0.00000,0.06738,1.02898,-0.00048,-0.00024
0.0500,0,-0.00060,-0.00023,-0.00700,0.00010,0.00820,0.00000,0.06736,1.02899,-0.00048,-0.00024
0.0520,0,-0.00062,-0.00023,-0.00726,0.00011,0.00846,0.00000,0.06735,1.02895,-0.00048,-0.00024
0.0540,0,-0.00063,-0.00023,-0.00749,0.00011,0.00869,0.00000,0.06745,1.02898,-0.00048,-0.00024
0.0560,0,-0.00065,-0.00023,-0.00769,0.00012,0.00889,0.00000,0.06744,1.02899,-0.00048,-0.00024
0.0580,0,-0.00066,-0.00023,-0.00786,0.00012,0.00905,0.00000,0.06743,1.02896,-0.00048,-0.00024
0.0600,0,-0.00068,-0.00023,-0.00800,0.00012,0.00918,0.00000,0.06748,1.02898,-0.00048,-0.00024
0.0620,0,-0.00070,-0.00023,-0.00811,0.00013,0.00930,0.00000,0.06747,1.02900,-0.00048,-0.00024
0.0640,0,-0.00071,-0.00022,-0.00820,0.00013,0.00944,0.00000,0.06752,1.02896,-0.00048,-0.00024
0.0661,0,-0.00073,-0.00022,-0.00832,0.00014,0.00962,0.00000,0.06752,1.02895,-0.00048,-0.00024
0.0681,0,-0.00074,-0.00022,-0.00847,0.00014,0.00983,0.00000,0.06754,1.02899,-0.00048,-0.00024
0.0701,0,-0.00076,-0.00022,-0.00865,0.00014,0.01007,0.00000,0.06756,1.02898,-0.00048,-0.00024
0.0721,0,-0.00078,-0.00022,-0.00886,0.00015,0.01034,0.00000,0.06760,1.02896,-0.00048,-0.00024
0.0741,0,-0.00089,-0.00038,-0.01038,-0.00189,0.01065,0.00000,0.06757,1.02900,-0.00055,-0.00030
0.0761,0,-0.00091,-0.00038,-0.01064,-0.00189,0.01098,0.00000,0.06756,1.02896,-0.00055,-0.00030
0.0781,0,-0.00093,-0.00039,-0.01094,-0.00188,0.01135,0.00000,0.06757,1.02898,-0.00055,-0.00030
0.0801,0,-0.00095,-0.00039,-0.01126,-0.00187,0.01175,0.00000,0.06760,1.02897,-0.00055,-0.00030
0.0821,0,-0.00097,-0.00039,-0.01161,-0.00186,0.01218,0.00000,0.06765,1.02896,-0.00055,-0.00030
0.0841,0,-0.00100,-0.00040,-0.01200,-0.00186,0.01259,0.00000,0.06766,1.02896,-0.00055,-0.00030
0.0861,0,-0.00102,-0.00040,-0.01235,-0.00185,0.01295,0.00000,0.06771,1.02899,-0.00055,-0.00030
0.0881,0,-0.00105,-0.00041,-0.01267,-0.00184,0.01329,0.00000,0.06780,1.02896,-0.00055,-0.00030
0.0901,0,-0.00107,-0.00041,-0.01296,-0.00184,0.01360,0.00000,0.06778,1.02895,-0.00055,-0.00030
0.0921,0,-0.00110,-0.00041,-0.01323,-0.00183,0.01387,0.00000,0.06785,1.02896,-0.00055,-0.00030
0.0941,0,-0.00112,-0.00042,-0.01346,-0.00182,0.01411,0.00000,0.06789,1.02898,-0.00055,-0.00030
0.0961,0,-0.00115,-0.00042,-0.01366,-0.00181,0.01432,0.00000,0.06796,1.02895,-0.00055,-0.00030
0.0981,0,-0.00118,-0.00042,-0.01383,-0.00180,0.01456,0.00000,0.06793,1.02897,-0.00055,-0.00030
0.1001,0,-0.00121,-0.00043,-0.01403,-0.00180,0.01483,0.00000,0.06791,1.02894,-0.00055,-0.00030
