t,phase,th_x,th_y,thd_x,thd_y,vcmd_x,vcmd_y,tcp_x,tcp_y,th_brut_x,th_brut_y
0.0000,0,-0.00913,0.00323,0.00000,0.00000,0.00001,0.00000,0.10632,0.99131,-0.00913,0.00323
0.0020,0,-0.00913,0.00323,0.00016,-0.00006,0.00004,0.00000,0.10632,0.99131,-0.00913,0.00323
0.0040,0,-0.00913,0.00323,0.00029,-0.00012,0.00011,0.00000,0.10625,0.99129,-0.00913,0.00323
0.0060,0,-0.00912,0.00323,0.00039,-0.00018,0.00021,0.00000,0.10634,0.99129,-0.00913,0.00323
0.0080,0,-0.00912,0.00323,0.00047,-0.00023,0.00035,0.00000,0.10632,0.99130,-0.00913,0.00323
0.0100,0,-0.00912,0.00323,0.00051,-0.00029,0.00051,0.00000,0.10637,0.99127,-0.00913,0.00323
0.0120,0,-0.00912,0.00323,0.00052,-0.00035,0.00071,0.00000,0.10633,0.99132,-0.00913,0.00323
0.0140,0,-0.00912,0.00323,0.00050,-0.00041,0.00094,0.00000,0.10633,0.99131,-0.00913,0.00323
0.0161,0,-0.00912,0.00322,0.00046,-0.00047,0.00120,0.00000,0.10634,0.99132,-0.00913,0.00323
0.0181,0,-0.00912,0.00322,0.00038,-0.00053,0.00149,0.00000,0.10633,0.99129,-0.00913,0.00323
0.0201,0,-0.00912,0.00322,0.00027,-0.00059,0.00182,0.00000,0.10632,0.99132,-0.00913,0.00323
0.0221,0,-0.00871,0.00325,0.00036,-0.00065,0.00218,0.00000,0.10634,0.99130,-0.00831,0.00329
0.0241,0,-0.00871,0.00325,0.00019,-0.00071,0.00256,0.00000,0.10634,0.99130,-0.00831,0.00329
0.0261,0,-0.00871,0.00325,-0.00002,-0.00077,0.00299,0.00000,0.10631,0.99131,-0.00831,0.00329
0.0281,0,-0.00871,0.00325,-0.00025,-0.00083,0.00344,0.00000,0.10634,0.99127,-0.00831,0.00329
0.0301,0,-0.00871,0.00325,-0.00051,-0.00089,0.00392,0.00000,0.10640,0.99128,-0.00831,0.00329
0.0321,0,-0.00871,0.00325,-0.00080,-0.00095,0.00444,0.00000,0.10639,0.99131,-0.00831,0.00329
