t,phase,th_x,th_y,thd_x,thd_y,vcmd_x,vcmd_y,tcp_x,tcp_y,th_brut_x,th_brut_y
0.0000,0,-0.00136,-0.00012,0.00000,0.00000,0.00000,0.00000,0.08877,1.02300,-0.00136,-0.00012
0.0020,0,-0.00136,-0.00012,0.00002,0.00000,0.00004,0.00000,0.08871,1.02303,-0.00136,-0.00012
0.0040,0,-0.00136,-0.00012,0.00001,0.00000,0.00011,0.00000,0.08879,1.02301,-0.00136,-0.00012
0.0060,0,-0.00136,-0.00012,-0.00003,0.00001,0.00021,0.00000,0.08875,1.02303,-0.00136,-0.00012
0.0080,0,-0.00136,-0.00012,-0.00009,0.00001,0.00034,0.00000,0.08871,1.02303,-0.00136,-0.00012
0.0100,0,-0.00137,-0.00012,-0.00019,0.00001,0.00051,0.00000,0.08876,1.02304,-0.00136,-0.00012
0.0120,0,-0.00137,-0.00012,-0.00032,0.00001,0.00070,0.00000,0.08875,1.02302,-0.00136,-0.00012
0.0140,0,-0.00137,-0.00012,-0.00048,0.00002,0.00093,0.00000,0.08874,1.02300,-0.00136,-0.00012
0.0160,0,-0.00137,-0.00012,-0.00066,0.00002,0.00119,0.00000,0.08874,1.02303,-0.00136,-0.00012
0.0180,0,-0.00137,-0.00012,-0.00088,0.00002,0.00148,0.00000,0.08877,1.02301,-0.00136,-0.00012
0.0201,0,-0.00137,-0.00012,-0.00112,0.00002,0.00181,0.00000,0.08875,1.02301,-0.00136,-0.00012
0.0221,0,-0.00137,-0.00012,-0.00140,0.00002,0.00216,0.00000,0.08877,1.02302,-0.00136,-0.00012
0.0241,0,-0.00138,-0.00012,-0.00170,0.00003,0.00255,0.00000,0.08877,1.02304,-0.00136,-0.00012
0.0261,0,-0.00138,-0.00012,-0.00204,0.00003,0.00297,0.00000,0.08873,1.02302,-0.00136,-0.00012
0.0281,0,-0.00138,-0.00012,-0.00240,0.00003,0.00342,0.00000,0.08874,1.02302,-0.00136,-0.00012
0.0301,0,-0.00139,-0.00012,-0.00280,0.00003,0.00391,0.00000,0.08882,1.02302,-0.00136,-0.00012
0.0321,0,-0.00140,-0.00012,-0.00322,0.00003,0.00442,0.00000,0.08886,1.02305,-0.00136,-0.00012
0.0341,0,-0.00140,-0.00012,-0.00367,0.00004,0.00497,0.00000,0.08881,1.02302,-0.00136,-0.00012
