t,ex,ey,th_x,th_y,thd_x,thd_y,yaw,vref_x,vref_y,vfb_x,vfb_y,vcmd_x,vcmd_y,tcp_x,tcp_y,dans_cible
0.0000,-0.54174,0.01773,0.01159,-0.00792,0.00000,0.00000,-0.33963,-0.00000,0.00000,0.05481,-0.03744,0.00051,-0.00051,0.17009,0.81266,0
0.0020,-0.54174,0.01773,0.01159,-0.00791,-0.00122,0.00097,-0.33963,-0.00014,0.00000,0.05478,-0.03742,0.00154,-0.00154,0.17008,0.81265,0
0.0040,-0.54174,0.01773,0.01157,-0.00790,-0.00287,0.00237,-0.33963,-0.00028,0.00001,0.05471,-0.03735,0.00307,-0.00307,0.17008,0.81265,0
0.0060,-0.54174,0.01773,0.01154,-0.00788,-0.00495,0.00422,-0.33963,-0.00042,0.00001,0.05456,-0.03723,0.00512,-0.00512,0.17007,0.81267,0
0.0081,-0.54174,0.01773,0.01149,-0.00783,-0.00748,0.00649,-0.33963,-0.00056,0.00002,0.05432,-0.03703,0.00768,-0.00768,0.17011,0.81269,0
0.0101,-0.54174,0.01773,0.01142,-0.00777,-0.01043,0.00920,-0.33963,-0.00070,0.00002,0.05398,-0.03673,0.01075,-0.01075,0.17011,0.81267,0
0.0121,-0.54174,0.01773,0.01132,-0.00768,-0.01382,0.01235,-0.33963,-0.00083,0.00003,0.05352,-0.03632,0.01434,-0.01434,0.17002,0.81266,0
0.0141,-0.54174,0.01773,0.01120,-0.00757,-0.01764,0.01592,-0.33963,-0.00097,0.00003,0.05292,-0.03579,0.01843,-0.01843,0.17011,0.81269,0
0.0161,-0.54174,0.01773,0.01104,-0.00743,-0.02188,0.01992,-0.33963,-0.00111,0.00004,0.05218,-0.03511,0.02304,-0.02304,0.17013,0.81267,0
0.0181,-0.54174,0.01773,0.01084,-0.00725,-0.02655,0.02435,-0.33963,-0.00125,0.00004,0.05126,-0.03427,0.02816,-0.02816,0.17008,0.81268,0
0.0201,-0.54174,0.01773,0.01061,-0.00704,-0.03164,0.02920,-0.33963,-0.00139,0.00005,0.05015,-0.03326,0.03379,-0.03321,0.17010,0.81267,0
0.0221,-0.54174,0.01773,0.01034,-0.00678,-0.03716,0.03398,-0.33963,-0.00153,0.00005,0.04885,-0.03207,0.03994,-0.03776,0.17013,0.81264,0
0.0241,-0.54174,0.01773,0.01002,-0.00649,-0.04309,0.03831,-0.33963,-0.00167,0.00005,0.04733,-0.03070,0.04566,-0.04179,0.17013,0.81262,0
0.0261,-0.54174,0.01773,0.00965,-0.00617,-0.04864,0.04217,-0.33963,-0.00180,0.00006,0.04559,-0.02918,0.05088,-0.04531,0.17020,0.81257,0
0.0281,-0.54174,0.01773,0.00924,-0.00582,-0.05372,0.04558,-0.33963,-0.00194,0.00006,0.04365,-0.02752,0.05558,-0.04831,0.17025,0.81257,0
0.0301,-0.54174,0.01773,0.00879,-0.00544,-0.05834,0.04852,-0.33963,-0.00208,0.00007,0.04153,-0.02574,0.05977,-0.05081,0.17023,0.81253,0
0.0321,-0.54174,0.01773,0.00831,-0.00505,-0.06249,0.05100,-0.33963,-0.00222,0.00007,0.03924,-0.02385,0.06345,-0.05279,0.17025,0.81254,0
0.0341,-0.54174,0.01773,0.00779,-0.00463,-0.06617,0.05301,-0.33963,-0.00236,0.00008,0.03680,-0.02189,0.06662,-0.05426,0.17028,0.81252,0
0.0361,-0.54174,0.01773,0.00725,-0.00420,-0.06937,0.05456,-0.33963,-0.00250,0.00008,0.03423,-0.01985,0.06927,-0.05522,0.17030,0.81252,0
0.0381,-0.54174,0.01773,0.00668,-0.00376,-0.07210,0.05564,-0.33963,-0.00263,0.00009,0.03155,-0.01777,0.07141,-0.05567,0.17030,0.81244,0
0.0401,-0.54174,0.01773,0.00610,-0.00331,-0.07435,0.05626,-0.33963,-0.00277,0.00009,0.02878,-0.01565,0.07305,-0.05560,0.17032,0.81240,0
0.0421,-0.54174,0.01773,0.00550,-0.00286,-0.07613,0.05640,-0.33963,-0.00291,0.00010,0.02593,-0.01352,0.07416,-0.05502,0.17041,0.81237,0
0.0441,-0.54174,0.01773,0.00488,-0.00241,-0.07742,0.05608,-0.33963,-0.00305,0.00010,0.02302,-0.01139,0.07477,-0.05394,0.17041,0.81241,0
