t,ex,ey,th_x,th_y,thd_x,thd_y,yaw,vref_x,vref_y,vfb_x,vfb_y,vcmd_x,vcmd_y,tcp_x,tcp_y,dans_cible,th_brut_x,th_brut_y
0.0000,-0.39760,-0.00717,-0.00134,-0.00284,0.00000,0.00000,0.07552,-0.00000,-0.00000,-0.00632,-0.01340,-0.00003,-0.00003,0.07684,0.82730,0,-0.00134,-0.00284
0.0020,-0.39760,-0.00717,-0.00134,-0.00284,0.00005,0.00007,0.07552,-0.00014,-0.00000,-0.00632,-0.01340,-0.00010,-0.00010,0.07678,0.82727,0,-0.00134,-0.00284
0.0040,-0.39760,-0.00717,-0.00134,-0.00283,0.00013,0.00018,0.07552,-0.00028,-0.00001,-0.00632,-0.01340,-0.00019,-0.00019,0.07682,0.82729,0,-0.00134,-0.00284
0.0061,-0.39760,-0.00717,-0.00134,-0.00283,0.00023,0.00031,0.07552,-0.00042,-0.00001,-0.00632,-0.01340,-0.00032,-0.00032,0.07681,0.82727,0,-0.00134,-0.00284
0.0081,-0.39760,-0.00717,-0.00134,-0.00283,0.00036,0.00046,0.07552,-0.00056,-0.00001,-0.00631,-0.01340,-0.00048,-0.00048,0.07682,0.82733,0,-0.00134,-0.00284
0.0101,-0.39760,-0.00717,-0.00133,-0.00283,0.00052,0.00065,0.07552,-0.00070,-0.00001,-0.00631,-0.01339,-0.00067,-0.00067,0.07681,0.82727,0,-0.00134,-0.00284
0.0121,-0.39760,-0.00717,-0.00133,-0.00283,0.00071,0.00086,0.07552,-0.00083,-0.00002,-0.00630,-0.01338,-0.00090,-0.00090,0.07687,0.82730,0,-0.00134,-0.00284
0.0141,-0.39760,-0.00717,-0.00133,-0.00283,0.00092,0.00110,0.07552,-0.00097,-0.00002,-0.00630,-0.01337,-0.00115,-0.00115,0.07680,0.82727,0,-0.00134,-0.00284
0.0161,-0.39760,-0.00717,-0.00133,-0.00283,0.00116,0.00136,0.07552,-0.00111,-0.00002,-0.00629,-0.01336,-0.00144,-0.00144,0.07683,0.82728,0,-0.00134,-0.00284
0.0181,-0.39760,-0.00717,-0.00133,-0.00282,0.00143,0.00166,0.07552,-0.00125,-0.00002,-0.00628,-0.01335,-0.00176,-0.00176,0.07685,0.82728,0,-0.00134,-0.00284
0.0201,-0.39760,-0.00717,-0.00132,-0.00282,0.00173,0.00198,0.07552,-0.00139,-0.00003,-0.00626,-0.01333,-0.00211,-0.00211,0.07683,0.82726,0,-0.00134,-0.00284
0.0221,-0.39760,-0.00717,-0.00132,-0.00282,0.00205,0.00233,0.07552,-0.00153,-0.00003,-0.00624,-0.01331,-0.00250,-0.00250,0.07682,0.82731,0,-0.00134,-0.00284
0.0241,-0.39760,-0.00717,-0.00132,-0.00281,0.00240,0.00270,0.07552,-0.00167,-0.00003,-0.00622,-0.01329,-0.00291,-0.00291,0.07681,0.82728,0,-0.00134,-0.00284
0.0261,-0.39760,-0.00717,-0.00131,-0.00280,0.00278,0.00310,0.07552,-0.00181,-0.00003,-0.00620,-0.01326,-0.00336,-0.00336,0.07683,0.82729,0,-0.00134,-0.00284
0.0281,-0.39760,-0.00717,-0.00130,-0.00280,0.00318,0.00353,0.07552,-0.00195,-0.00004,-0.00617,-0.01323,-0.00384,-0.00384,0.07678,0.82730,0,-0.00134,-0.00284
0.0301,-0.39760,-0.00717,-0.00130,-0.00279,0.00362,0.00399,0.07552,-0.00208,-0.00004,-0.00614,-0.01319,-0.00435,-0.00435,0.07680,0.82726,0,-0.00134,-0.00284
0.0321,-0.39760,-0.00717,-0.00129,-0.00278,0.00407,0.00448,0.07552,-0.00222,-0.00004,-0.00611,-0.01315,-0.00490,-0.00490,0.07683,0.82726,0,-0.00134,-0.00284
0.0341,-0.39760,-0.00717,-0.00128,-0.00277,0.00456,0.00499,0.07552,-0.00236,-0.00004,-0.00607,-0.01311,-0.00547,-0.00547,0.07679,0.82723,0,-0.00134,-0.00284
0.0362,-0.39760,-0.00717,-0.00127,-0.00276,0.00507,0.00553,0.07552,-0.00250,-0.00005,-0.00602,-0.01306,-0.00608,-0.00608,0.07677,0.82721,0,-0.00134,-0.00284
0.0382,-0.39760,-0.00717,-0.00126,-0.00275,0.00561,0.00609,0.07552,-0.00264,-0.00005,-0.00598,-0.01300,-0.00672,-0.00672,0.07674,0.82722,0,-0.00134,-0.00284
0.0402,-0.39760,-0.00717,-0.00125,-0.00274,0.00618,0.00668,0.07552,-0.00278,-0.00005,-0.00592,-0.01294,-0.00739,-0.00739,0.07676,0.82723,0,-0.00134,-0.00284
0.0422,-0.39760,-0.00717,-0.00124,-0.00272,0.00678,0.00730,0.07552,-0.00292,-0.00005,-0.00586,-0.01288,-0.00810,-0.00810,0.07672,0.82721,0,-0.00134,-0.00284
0.0442,-0.39760,-0.00717,-0.00122,-0.00271,0.00740,0.00795,0.07552,-0.00306,-0.00006,-0.00580,-0.01280,-0.00883,-0.00883,0.07674,0.82721,0,-0.00134,-0.00284
0.0462,-0.39760,-0.00717,-0.00121,-0.00269,0.00805,0.00863,0.07552,-0.00319,-0.00006,-0.00573,-0.01273,-0.00954,-0.00960,0.07673,0.82718,0,-0.00134,-0.00284
0.0482,-0.39760,-0.00717,-0.00119,-0.00267,0.00867,0.00933,0.07552,-0.00333,-0.00006,-0.00565,-0.01264,-0.01021,-0.01040,0.07667,0.82719,0,-0.00134,-0.00284
0.0502,-0.39760,-0.00717,-0.00117,-0.00265,0.00926,0.01005,0.07552,-0.00347,-0.00006,-0.00557,-0.01255,-0.01085,-0.01123,0.07668,0.82717,0,-0.00134,-0.00284
0.0523,-0.39760,-0.00717,-0.00115,-0.00263,0.00983,0.01081,0.07552,-0.00361,-0.00007,-0.00548,-0.01245,-0.01146,-0.01210,0.07668,0.82716,0,-0.00134,-0.00284
0.0543,-0.39760,-0.00717,-0.00113,-0.00261,0.01037,0.01159,0.07552,-0.00375,-0.00007,-0.00538,-0.01235,-0.01203,-0.01293,0.07665,0.82714,0,-0.00134,-0.00284
0.0563,-0.39760,-0.00717,-0.00111,-0.00259,0.01088,0.01235,0.07552,-0.00389,-0.00007,-0.00529,-0.01223,-0.01258,-0.01373,0.07663,0.82711,0,-0.00134,-0.00284
0.0583,-0.39760,-0.00717,-0.00109,-0.00256,0.01136,0.01307,0.07552,-0.00403,-0.00007,-0.00518,-0.01211,-0.01309,-0.01450,0.07658,0.82711,0,-0.00134,-0.00284
0.0603,-0.39760,-0.00717,-0.00107,-0.00254,0.01182,0.01377,0.07552,-0.00417,-0.00008,-0.00508,-0.01199,-0.01357,-0.01523,0.07656,0.82703,0,-0.00134,-0.00284
0.0623,-0.39760,-0.00717,-0.00104,-0.00251,0.01225,0.01444,0.07552,-0.00431,-0.00008,-0.00496,-0.01185,-0.01402,-0.01594,0.07655,0.82706,0,-0.00134,-0.00284
0.0643,-0.39760,-0.00717,-0.00102,-0.00248,0.01265,0.01509,0.07552,-0.00444,-0.00008,-0.00485,-0.01171,-0.01443,-0.01661,0.07649,0.82704,0,-0.00134,-0.00284
0.0663,-0.39760,-0.00717,-0.00099,-0.00245,0.01302,0.01570,0.07552,-0.00458,-0.00008,-0.00473,-0.01157,-0.01482,-0.01725,0.07650,0.82703,0,-0.00134,-0.00284
0.0683,-0.39760,-0.00717,-0.00096,-0.00241,0.01336,0.01629,0.07552,-0.00472,-0.00009,-0.00461,-0.01142,-0.01517,-0.01786,0.07648,0.82701,0,-0.00134,-0.00284
0.0703,-0.39760,-0.00717,-0.00094,-0.00238,0.01368,0.01685,0.07552,-0.00486,-0.00009,-0.00448,-0.01126,-0.01549,-0.01843,0.07644,0.82697,0,-0.00134,-0.00284
0.0723,-0.39760,-0.00717,-0.00091,-0.00235,0.01397,0.01738,0.07552,-0.00500,-0.00009,-0.00436,-0.01110,-0.01578,-0.01898,0.07644,0.82692,0,-0.00134,-0.00284
0.0743,-0.39760,-0.00717,-0.00088,-0.00231,0.01423,0.01788,0.07552,-0.00514,-0.00009,-0.00423,-0.01093,-0.01603,-0.01949,0.07641,0.82692,0,-0.00134,-0.00284
0.0763,-0.39760,-0.00717,-0.00085,-0.00228,0.01446,0.01836,0.07552,-0.00527,-0.00010,-0.00409,-0.01076,-0.01626,-0.01997,0.07638,0.82691,0,-0.00134,-0.00284
0.0783,-0.39760,-0.00717,-0.00082,-0.00224,0.01467,0.01881,0.07552,-0.00541,-0.00010,-0.00396,-0.01058,-0.01645,-0.02042,0.07632,0.82685,0,-0.00134,-0.00284
0.0803,-0.39760,-0.00717,-0.00079,-0.00220,0.01484,0.01923,0.07552,-0.00555,-0.00010,-0.00382,-0.01040,-0.01661,-0.02083,0.07629,0.82680,0,-0.00134,-0.00284
0.0823,-0.39760,-0.00717,-0.00076,-0.00216,0.01499,0.01962,0.07552,-0.00569,-0.00010,-0.00369,-0.01022,-0.01674,-0.02122,0.07628,0.82680,0,-0.00134,-0.00284
0.0843,-0.39760,-0.00717,-0.00073,-0.00212,0.01511,0.01998,0.07552,-0.00583,-0.00011,-0.00355,-0.01003,-0.01683,-0.02157,0.07623,0.82678,0,-0.00134,-0.00284
0.0863,-0.39760,-0.00717,-0.00070,-0.00208,0.01521,0.02032,0.07552,-0.00597,-0.00011,-0.00341,-0.00984,-0.01690,-0.02189,0.07625,0.82669,0,-0.00134,-0.00284
0.0883,-0.39760,-0.00717,-0.00067,-0.00204,0.01527,0.02062,0.07552,-0.00610,-0.00011,-0.00327,-0.00965,-0.01693,-0.02218,0.07619,0.82665,0,-0.00134,-0.00284
0.0903,-0.39760,-0.00717,-0.00064,-0.00200,0.01531,0.02090,0.07552,-0.00624,-0.00011,-0.00313,-0.00945,-0.01693,-0.02243,0.07617,0.82666,0,-0.00134,-0.00284
0.0923,-0.39760,-0.00717,-0.00061,-0.00196,0.01532,0.02116,0.07552,-0.00638,-0.00012,-0.00298,-0.00925,-0.01690,-0.02266,0.07613,0.82659,0,-0.00134,-0.00284
0.0943,-0.39760,-0.00717,-0.00058,-0.00191,0.01530,0.02138,0.07552,-0.00652,-0.00012,-0.00284,-0.00905,-0.01683,-0.02285,0.07612,0.82658,0,-0.00134,-0.00284
0.0963,-0.39760,-0.00717,-0.00055,-0.00187,0.01526,0.02157,0.07552,-0.00666,-0.00012,-0.00270,-0.00885,-0.01674,-0.02301,0.07605,0.82652,0,-0.00134,-0.00284
0.0983,-0.39760,-0.00717,-0.00052,-0.00183,0.01519,0.02174,0.07552,-0.00680,-0.00012,-0.00256,-0.00865,-0.01661,-0.02314,0.07605,0.82648,0,-0.00134,-0.00284
0.1003,-0.39760,-0.00717,-0.00049,-0.00178,0.01508,0.02188,0.07552,-0.00693,-0.00013,-0.00242,-0.00844,-0.01645,-0.02323,0.07600,0.82643,0,-0.00134,-0.00284
0.1023,-0.39760,-0.00717,-0.00046,-0.00174,0.01496,0.02199,0.07552,-0.00707,-0.00013,-0.00229,-0.00823,-0.01626,-0.02330,0.07596,0.82636,0,-0.00134,-0.00284
0.1043,-0.39760,-0.00717,-0.00043,-0.00170,0.01480,0.02207,0.07552,-0.00721,-0.00013,-0.00215,-0.00802,-0.01603,-0.02333,0.07593,0.82634,0,-0.00134,-0.00284
0.1063,-0.39760,-0.00717,-0.00040,-0.00165,0.01461,0.02213,0.07552,-0.00735,-0.00013,-0.00201,-0.00782,-0.01578,-0.02333,0.07594,0.82629,0,-0.00134,-0.00284
0.1083,-0.39760,-0.00717,-0.00037,-0.00161,0.01440,0.02216,0.07552,-0.00749,-0.00014,-0.00188,-0.00761,-0.01549,-0.02330,0.07585,0.82628,0,-0.00134,-0.00284
0.1103,-0.39760,-0.00717,-0.00034,-0.00156,0.01416,0.02215,0.07552,-0.00763,-0.00014,-0.00175,-0.00740,-0.01517,-0.02323,0.07585,0.82619,0,-0.00134,-0.00284
0.1123,-0.39760,-0.00717,-0.00032,-0.00152,0.01389,0.02212,0.07552,-0.00776,-0.00014,-0.00162,-0.00719,-0.01482,-0.02314,0.07583,0.82615,0,-0.00134,-0.00284
0.1143,-0.39760,-0.00717,-0.00029,-0.00148,0.01360,0.02207,0.07552,-0.00790,-0.00014,-0.00150,-0.00698,-0.01443,-0.02301,0.07579,0.82612,0,-0.00134,-0.00284
0.1163,-0.39760,-0.00717,-0.00026,-0.00143,0.01327,0.02198,0.07552,-0.00804,-0.00014,-0.00138,-0.00677,-0.01402,-0.02285,0.07576,0.82608,0,-0.00134,-0.00284
0.1183,-0.39760,-0.00717,-0.00024,-0.00139,0.01292,0.02187,0.07552,-0.00818,-0.00015,-0.00126,-0.00656,-0.01357,-0.02266,0.07576,0.82604,0,-0.00134,-0.00284
0.1203,-0.39760,-0.00717,-0.00021,-0.00134,0.01254,0.02173,0.07552,-0.00832,-0.00015,-0.00114,-0.00636,-0.01309,-0.02243,0.07572,0.82599,0,-0.00134,-0.00284
0.1223,-0.39760,-0.00717,-0.00019,-0.00130,0.01213,0.02156,0.07552,-0.00846,-0.00015,-0.00103,-0.00615,-0.01258,-0.02218,0.07570,0.82597,0,-0.00134,-0.00284
0.1243,-0.39760,-0.00717,-0.00016,-0.00126,0.01170,0.02136,0.07552,-0.00859,-0.00015,-0.00092,-0.00595,-0.01203,-0.02189,0.07561,0.82589,0,-0.00134,-0.00284
0.1263,-0.39760,-0.00717,-0.00014,-0.00122,0.01124,0.02113,0.07552,-0.00873,-0.00016,-0.00082,-0.00575,-0.01146,-0.02157,0.07568,0.82585,0,-0.00134,-0.00284
0.1283,-0.39760,-0.00717,-0.00012,-0.00117,0.01074,0.02088,0.07552,-0.00887,-0.00016,-0.00072,-0.00555,-0.01085,-0.02122,0.07558,0.82582,0,-0.00134,-0.00284
