t,ex,ey,th_x,th_y,thd_x,thd_y,yaw,vref_x,vref_y,vfb_x,vfb_y,vcmd_x,vcmd_y,tcp_x,tcp_y,dans_cible,th_brut_x,th_brut_y
0.0000,-0.37714,-0.00907,-0.00405,-0.00455,0.00000,0.00000,0.30681,-0.00000,-0.00000,-0.01915,-0.02149,-0.00013,-0.00013,0.08484,0.83882,0,-0.00405,-0.00455
0.0020,-0.37714,-0.00907,-0.00405,-0.00455,0.00018,0.00019,0.30681,-0.00014,-0.00000,-0.01915,-0.02149,-0.00038,-0.00038,0.08482,0.83889,0,-0.00405,-0.00455
0.0040,-0.37714,-0.00907,-0.00405,-0.00454,0.00046,0.00048,0.30681,-0.00028,-0.00001,-0.01915,-0.02149,-0.00077,-0.00077,0.08483,0.83886,0,-0.00405,-0.00455
0.0060,-0.37714,-0.00907,-0.00405,-0.00454,0.00086,0.00089,0.30681,-0.00042,-0.00001,-0.01914,-0.02148,-0.00128,-0.00128,0.08478,0.83883,0,-0.00405,-0.00455
0.0080,-0.37714,-0.00907,-0.00405,-0.00454,0.00137,0.00140,0.30681,-0.00056,-0.00001,-0.01913,-0.02147,-0.00192,-0.00192,0.08482,0.83888,0,-0.00405,-0.00455
0.0100,-0.37714,-0.00907,-0.00404,-0.00454,0.00198,0.00202,0.30681,-0.00069,-0.00002,-0.01912,-0.02145,-0.00269,-0.00269,0.08476,0.83885,0,-0.00405,-0.00455
0.0120,-0.37714,-0.00907,-0.00404,-0.00453,0.00270,0.00275,0.30681,-0.00083,-0.00002,-0.01909,-0.02143,-0.00358,-0.00358,0.08485,0.83886,0,-0.00405,-0.00455
0.0140,-0.37714,-0.00907,-0.00403,-0.00453,0.00354,0.00360,0.30681,-0.00097,-0.00002,-0.01907,-0.02140,-0.00461,-0.00461,0.08480,0.83881,0,-0.00405,-0.00455
0.0160,-0.37714,-0.00907,-0.00402,-0.00452,0.00448,0.00455,0.30681,-0.00111,-0.00003,-0.01903,-0.02136,-0.00576,-0.00576,0.08477,0.83882,0,-0.00405,-0.00455
0.0180,-0.37714,-0.00907,-0.00401,-0.00451,0.00553,0.00561,0.30681,-0.00125,-0.00003,-0.01898,-0.02131,-0.00704,-0.00704,0.08482,0.83883,0,-0.00405,-0.00455
