t,ex,ey,th_x,th_y,thd_x,thd_y,yaw,vref_x,vref_y,vfb_x,vfb_y,vcmd_x,vcmd_y,tcp_x,tcp_y,dans_cible,th_brut_x,th_brut_y
0.0000,-0.36359,-0.01700,0.00507,-0.00371,0.00000,0.00000,0.33435,-0.00000,-0.00000,0.02395,-0.01752,0.00013,-0.00013,0.08029,0.83186,0,0.00507,-0.00371
0.0020,-0.36359,-0.01700,0.00507,-0.00371,-0.00019,0.00017,0.33435,-0.00014,-0.00001,0.02395,-0.01752,0.00038,-0.00038,0.08030,0.83185,0,0.00507,-0.00371
0.0040,-0.36359,-0.01700,0.00507,-0.00370,-0.00050,0.00045,0.33435,-0.00028,-0.00001,0.02395,-0.01751,0.00077,-0.00077,0.08027,0.83187,0,0.00507,-0.00371
0.0060,-0.36359,-0.01700,0.00506,-0.00370,-0.00091,0.00084,0.33435,-0.00042,-0.00002,0.02394,-0.01751,0.00128,-0.00128,0.08027,0.83183,0,0.00507,-0.00371
0.0080,-0.36359,-0.01700,0.00506,-0.00370,-0.00143,0.00134,0.33435,-0.00056,-0.00003,0.02393,-0.01750,0.00192,-0.00192,0.08032,0.83186,0,0.00507,-0.00371
0.0100,-0.36359,-0.01700,0.00506,-0.00370,-0.00207,0.00195,0.33435,-0.00069,-0.00003,0.02391,-0.01748,0.00269,-0.00269,0.08030,0.83186,0,0.00507,-0.00371
0.0120,-0.36359,-0.01700,0.00505,-0.00369,-0.00281,0.00267,0.33435,-0.00083,-0.00004,0.02389,-0.01746,0.00358,-0.00358,0.08029,0.83185,0,0.00507,-0.00371
0.0140,-0.36359,-0.01700,0.00505,-0.00369,-0.00366,0.00350,0.33435,-0.00097,-0.00005,0.02386,-0.01743,0.00461,-0.00461,0.08027,0.83184,0,0.00507,-0.00371
0.0161,-0.36359,-0.01700,0.00504,-0.00368,-0.00462,0.00443,0.33435,-0.00111,-0.00005,0.02382,-0.01739,0.00576,-0.00576,0.08033,0.83183,0,0.00507,-0.00371
0.0181,-0.36359,-0.01700,0.00503,-0.00367,-0.00569,0.00548,0.33435,-0.00125,-0.00006,0.02377,-0.01735,0.00704,-0.00704,0.08033,0.83184,0,0.00507,-0.00371
0.0201,-0.36359,-0.01700,0.00502,-0.00366,-0.00686,0.00664,0.33435,-0.00139,-0.00006,0.02371,-0.01729,0.00845,-0.00845,0.08034,0.83186,0,0.00507,-0.00371
0.0221,-0.36359,-0.01700,0.00500,-0.00364,-0.00815,0.00790,0.33435,-0.00152,-0.00007,0.02364,-0.01722,0.00998,-0.00998,0.08034,0.83186,0,0.00507,-0.00371
0.0241,-0.36359,-0.01700,0.00498,-0.00363,-0.00955,0.00927,0.33435,-0.00166,-0.00008,0.02355,-0.01714,0.01165,-0.01165,0.08035,0.83182,0,0.00507,-0.00371
0.0261,-0.36359,-0.01700,0.00496,-0.00361,-0.01105,0.01076,0.33435,-0.00180,-0.00008,0.02345,-0.01704,0.01344,-0.01344,0.08040,0.83182,0,0.00507,-0.00371
0.0281,-0.36359,-0.01700,0.00494,-0.00358,-0.01267,0.01235,0.33435,-0.00194,-0.00009,0.02334,-0.01694,0.01536,-0.01536,0.08039,0.83177,0,0.00507,-0.00371
0.0301,-0.36359,-0.01700,0.00491,-0.00356,-0.01439,0.01405,0.33435,-0.00208,-0.00010,0.02321,-0.01681,0.01741,-0.01715,0.08040,0.83174,0,0.00507,-0.00371
0.0321,-0.36359,-0.01700,0.00488,-0.00353,-0.01622,0.01564,0.33435,-0.00222,-0.00010,0.02307,-0.01667,0.01958,-0.01882,0.08052,0.83177,0,0.00507,-0.00371
0.0341,-0.36359,-0.01700,0.00485,-0.00349,-0.01816,0.01712,0.33435,-0.00235,-0.00011,0.02290,-0.01652,0.02163,-0.02035,0.08049,0.83173,0,0.00507,-0.00371
0.0361,-0.36359,-0.01700,0.00481,-0.00346,-0.01999,0.01849,0.33435,-0.00249,-0.00012,0.02272,-0.01635,0.02355,-0.02176,0.08054,0.83167,0,0.00507,-0.00371
0.0381,-0.36359,-0.01700,0.00477,-0.00342,-0.02171,0.01975,0.33435,-0.00263,-0.00012,0.02252,-0.01617,0.02534,-0.02304,0.08058,0.83166,0,0.00507,-0.00371
0.0401,-0.36359,-0.01700,0.00472,-0.00338,-0.02333,0.02090,0.33435,-0.00277,-0.00013,0.02231,-0.01597,0.02701,-0.02419,0.08063,0.83163,0,0.00507,-0.00371
0.0421,-0.36359,-0.01700,0.00467,-0.00334,-0.02483,0.02194,0.33435,-0.00291,-0.00014,0.02208,-0.01577,0.02854,-0.02522,0.08069,0.83161,0,0.00507,-0.00371
0.0441,-0.36359,-0.01700,0.00462,-0.00329,-0.02622,0.02287,0.33435,-0.00304,-0.00014,0.02183,-0.01556,0.02995,-0.02611,0.08074,0.83155,0,0.00507,-0.00371
0.0461,-0.36359,-0.01700,0.00457,-0.00324,-0.02750,0.02369,0.33435,-0.00318,-0.00015,0.02158,-0.01534,0.03123,-0.02688,0.08082,0.83152,0,0.00507,-0.00371
0.0481,-0.36359,-0.01700,0.00451,-0.00320,-0.02867,0.02440,0.33435,-0.00332,-0.00016,0.02131,-0.01511,0.03238,-0.02752,0.08083,0.83149,0,0.00507,-0.00371
0.0501,-0.36359,-0.01700,0.00445,-0.00315,-0.02972,0.02500,0.33435,-0.00346,-0.00016,0.02103,-0.01488,0.03341,-0.02803,0.08092,0.83146,0,0.00507,-0.00371
0.0521,-0.36359,-0.01700,0.00439,-0.00310,-0.03067,0.02549,0.33435,-0.00360,-0.00017,0.02075,-0.01464,0.03430,-0.02842,0.08096,0.83139,0,0.00507,-0.00371
0.0541,-0.36359,-0.01700,0.00433,-0.00305,-0.03151,0.02587,0.33435,-0.00374,-0.00017,0.02045,-0.01440,0.03507,-0.02867,0.08104,0.83135,0,0.00507,-0.00371
0.0561,-0.36359,-0.01700,0.00427,-0.00299,-0.03224,0.02614,0.33435,-0.00387,-0.00018,0.02015,-0.01415,0.03571,-0.02880,0.08108,0.83133,0,0.00507,-0.00371
0.0581,-0.36359,-0.01700,0.00420,-0.00294,-0.03286,0.02630,0.33435,-0.00401,-0.00019,0.01984,-0.01390,0.03622,-0.02880,0.08110,0.83126,0,0.00507,-0.00371
0.0601,-0.36359,-0.01700,0.00414,-0.00289,-0.03336,0.02634,0.33435,-0.00415,-0.00019,0.01952,-0.01366,0.03661,-0.02867,0.08117,0.83120,0,0.00507,-0.00371
0.0621,-0.36359,-0.01700,0.00407,-0.00284,-0.03376,0.02628,0.33435,-0.00429,-0.00020,0.01920,-0.01341,0.03686,-0.02842,0.08127,0.83115,0,0.00507,-0.00371
0.0641,-0.36359,-0.01700,0.00400,-0.00278,-0.03404,0.02611,0.33435,-0.00443,-0.00021,0.01888,-0.01316,0.03699,-0.02803,0.08129,0.83114,0,0.00507,-0.00371
0.0661,-0.36359,-0.01700,0.00393,-0.00273,-0.03422,0.02583,0.33435,-0.00457,-0.00021,0.01855,-0.01291,0.03699,-0.02752,0.08139,0.83109,0,0.00507,-0.00371
0.0681,-0.36359,-0.01700,0.00387,-0.00268,-0.03428,0.02543,0.33435,-0.00470,-0.00022,0.01823,-0.01267,0.03686,-0.02688,0.08145,0.83102,0,0.00507,-0.00371
0.0701,-0.36359,-0.01700,0.00380,-0.00263,-0.03424,0.02493,0.33435,-0.00484,-0.00023,0.01790,-0.01243,0.03661,-0.02611,0.08154,0.83095,0,0.00507,-0.00371
0.0721,-0.36359,-0.01700,0.00373,-0.00258,-0.03408,0.02432,0.33435,-0.00498,-0.00023,0.01757,-0.01220,0.03622,-0.02522,0.08156,0.83093,0,0.00507,-0.00371
0.0741,-0.36359,-0.01700,0.00366,-0.00253,-0.03381,0.02359,0.33435,-0.00512,-0.00024,0.01725,-0.01198,0.03571,-0.02419,0.08166,0.83088,0,0.00507,-0.00371
0.0761,-0.36359,-0.01700,0.00359,-0.00249,-0.03344,0.02276,0.33435,-0.00526,-0.00025,0.01693,-0.01176,0.03507,-0.02304,0.08172,0.83083,0,0.00507,-0.00371
0.0781,-0.36359,-0.01700,0.00353,-0.00244,-0.03295,0.02182,0.33435,-0.00540,-0.00025,0.01661,-0.01155,0.03430,-0.02176,0.08182,0.83078,0,0.00507,-0.00371
0.0801,-0.36359,-0.01700,0.00346,-0.00240,-0.03235,0.02076,0.33435,-0.00553,-0.00026,0.01630,-0.01134,0.03341,-0.02035,0.08183,0.83072,0,0.00507,-0.00371
0.0822,-0.36359,-0.01700,0.00340,-0.00236,-0.03164,0.01960,0.33435,-0.00567,-0.00027,0.01599,-0.01115,0.03238,-0.01882,0.08195,0.83066,0,0.00507,-0.00371
0.0842,-0.36359,-0.01700,0.00334,-0.00232,-0.03082,0.01832,0.33435,-0.00581,-0.00027,0.01569,-0.01097,0.03123,-0.01715,0.08201,0.83068,0,0.00507,-0.00371
0.0862,-0.36359,-0.01700,0.00327,-0.00229,-0.02989,0.01694,0.33435,-0.00595,-0.00028,0.01540,-0.01081,0.02995,-0.01536,0.08207,0.83059,0,0.00507,-0.00371
0.0882,-0.36359,-0.01700,0.00322,-0.00225,-0.02885,0.01545,0.33435,-0.00609,-0.00028,0.01512,-0.01066,0.02854,-0.01344,0.08212,0.83058,0,0.00507,-0.00371
0.0902,-0.36359,-0.01700,0.00316,-0.00222,-0.02770,0.01384,0.33435,-0.00623,-0.00029,0.01485,-0.01052,0.02701,-0.01139,0.08220,0.83050,0,0.00507,-0.00371
0.0922,-0.36359,-0.01700,0.00311,-0.00220,-0.02644,0.01213,0.33435,-0.00637,-0.00030,0.01459,-0.01039,0.02534,-0.00947,0.08229,0.83048,0,0.00507,-0.00371
0.0942,-0.36359,-0.01700,0.00305,-0.00218,-0.02507,0.01052,0.33435,-0.00650,-0.00030,0.01434,-0.01029,0.02355,-0.00768,0.08236,0.83050,0,0.00507,-0.00371
0.0962,-0.36046,-0.01691,0.00061,-0.00367,-0.04940,-0.00489,0.33353,-0.00664,-0.00031,0.00372,-0.01734,0.02163,-0.00602,0.08237,0.83047,0,0.00285,-0.00393
0.0982,-0.36046,-0.01691,0.00051,-0.00368,-0.04777,-0.00625,0.33353,-0.00678,-0.00032,0.00326,-0.01739,0.01958,-0.00448,0.08244,0.83044,0,0.00285,-0.00393
0.1002,-0.36046,-0.01691,0.00042,-0.00370,-0.04603,-0.00750,0.33353,-0.00692,-0.00032,0.00281,-0.01745,0.01741,-0.00307,0.08250,0.83040,0,0.00285,-0.00393
0.1022,-0.36046,-0.01691,0.00033,-0.00371,-0.04417,-0.00864,0.33353,-0.00706,-0.00033,0.00238,-0.01753,0.01510,-0.00179,0.08254,0.83036,0,0.00285,-0.00393
0.1042,-0.36046,-0.01691,0.00024,-0.00373,-0.04221,-0.00967,0.33353,-0.00720,-0.00034,0.00196,-0.01762,0.01267,-0.00064,0.08262,0.83037,0,0.00285,-0.00393
0.1062,-0.36046,-0.01691,0.00016,-0.00375,-0.04013,-0.01059,0.33353,-0.00733,-0.00034,0.00157,-0.01771,0.01011,0.00038,0.08262,0.83038,0,0.00285,-0.00393
0.1082,-0.36046,-0.01691,0.00008,-0.00377,-0.03794,-0.01140,0.33353,-0.00747,-0.00035,0.00120,-0.01782,0.00742,0.00128,0.08264,0.83034,0,0.00285,-0.00393
0.1102,-0.36046,-0.01691,0.00001,-0.00380,-0.03565,-0.01211,0.33353,-0.00761,-0.00036,0.00085,-0.01793,0.00461,0.00205,0.08271,0.83036,0,0.00285,-0.00393
0.1122,-0.36046,-0.01691,-0.00006,-0.00382,-0.03324,-0.01270,0.33353,-0.00775,-0.00036,0.00051,-0.01805,0.00166,0.00269,0.08271,0.83034,0,0.00285,-0.00393
0.1142,-0.36046,-0.01691,-0.00013,-0.00385,-0.03072,-0.01318,0.33353,-0.00789,-0.00037,0.00021,-0.01817,-0.00141,0.00320,0.08280,0.83035,0,0.00285,-0.00393
0.1162,-0.36046,-0.01691,-0.00018,-0.00387,-0.02809,-0.01355,0.33353,-0.00803,-0.00038,-0.00008,-0.01830,-0.00461,0.00358,0.08279,0.83035,0,0.00285,-0.00393
0.1182,-0.36046,-0.01691,-0.00024,-0.00390,-0.02535,-0.01382,0.33353,-0.00817,-0.00038,-0.00033,-0.01843,-0.00794,0.00384,0.08281,0.83036,0,0.00285,-0.00393
0.1202,-0.36046,-0.01691,-0.00029,-0.00393,-0.02250,-0.01397,0.33353,-0.00830,-0.00039,-0.00056,-0.01856,-0.01114,0.00397,0.08278,0.83034,0,0.00285,-0.00393
0.1223,-0.36046,-0.01691,-0.00033,-0.00396,-0.01976,-0.01401,0.33353,-0.00844,-0.00039,-0.00077,-0.01869,-0.01421,0.00397,0.08275,0.83036,0,0.00285,-0.00393
0.1243,-0.36046,-0.01691,-0.00037,-0.00399,-0.01713,-0.01394,0.33353,-0.00858,-0.00040,-0.00095,-0.01882,-0.01715,0.00384,0.08278,0.83037,0,0.00285,-0.00393
0.1263,-0.36046,-0.01691,-0.00040,-0.00401,-0.01461,-0.01377,0.33353,-0.00872,-0.00041,-0.00110,-0.01895,-0.01997,0.00358,0.08271,0.83041,0,0.00285,-0.00393
0.1283,-0.36046,-0.01691,-0.00042,-0.00404,-0.01219,-0.01348,0.33353,-0.00886,-0.00041,-0.00124,-0.01908,-0.02266,0.00320,0.08265,0.83037,0,0.00285,-0.00393
