t,ex,ey,th_x,th_y,thd_x,thd_y,yaw,vref_x,vref_y,vfb_x,vfb_y,vcmd_x,vcmd_y,tcp_x,tcp_y,dans_cible
0.0000,-0.53405,0.00283,0.00378,-0.00587,0.00000,0.00000,0.70116,-0.00000,0.00000,0.01788,-0.02776,0.00051,-0.00051,0.17944,0.79894,0
0.0020,-0.53405,0.00283,0.00378,-0.00587,-0.00069,0.00083,0.70116,-0.00014,0.00000,0.01786,-0.02774,0.00154,-0.00154,0.17945,0.79896,0
0.0040,-0.53405,0.00283,0.00377,-0.00586,-0.00182,0.00210,0.70116,-0.00028,0.00000,0.01781,-0.02769,0.00307,-0.00307,0.17941,0.79895,0
0.0060,-0.53405,0.00283,0.00375,-0.00583,-0.00338,0.00380,0.70116,-0.00042,0.00000,0.01772,-0.02758,0.00512,-0.00512,0.17941,0.79895,0
0.0080,-0.53405,0.00283,0.00371,-0.00579,-0.00538,0.00594,0.70116,-0.00055,0.00000,0.01755,-0.02739,0.00768,-0.00768,0.17940,0.79896,0
0.0100,-0.53405,0.00283,0.00366,-0.00574,-0.00782,0.00852,0.70116,-0.00069,0.00000,0.01730,-0.02712,0.01075,-0.01075,0.17942,0.79895,0
0.0120,-0.53405,0.00283,0.00359,-0.00566,-0.01069,0.01153,0.70116,-0.00083,0.00000,0.01695,-0.02674,0.01434,-0.01434,0.17945,0.79892,0
0.0140,-0.53405,0.00283,0.00349,-0.00555,-0.01399,0.01496,0.70116,-0.00097,0.00001,0.01648,-0.02624,0.01741,-0.01843,0.17939,0.79891,0
0.0160,-0.53405,0.00283,0.00336,-0.00541,-0.01684,0.01883,0.70116,-0.00111,0.00001,0.01589,-0.02560,0.01997,-0.02304,0.17939,0.79891,0
0.0180,-0.53405,0.00283,0.00322,-0.00525,-0.01925,0.02312,0.70116,-0.00125,0.00001,0.01521,-0.02480,0.02202,-0.02714,0.17943,0.79893,0
0.0200,-0.53405,0.00283,0.00306,-0.00505,-0.02121,0.02697,0.70116,-0.00138,0.00001,0.01444,-0.02386,0.02355,-0.03072,0.17954,0.79893,0
0.0220,-0.53405,0.00283,0.00288,-0.00482,-0.02272,0.03036,0.70116,-0.00152,0.00001,0.01361,-0.02277,0.02458,-0.03379,0.17954,0.79893,0
0.0240,-0.53405,0.00283,0.00270,-0.00456,-0.02378,0.03330,0.70116,-0.00166,0.00001,0.01272,-0.02157,0.02509,-0.03635,0.17965,0.79884,0
0.0260,-0.53405,0.00283,0.00250,-0.00429,-0.02439,0.03578,0.70116,-0.00180,0.00001,0.01181,-0.02026,0.02509,-0.03840,0.17965,0.79884,0
0.0280,-0.53405,0.00283,0.00231,-0.00399,-0.02454,0.03780,0.70116,-0.00194,0.00001,0.01088,-0.01887,0.02458,-0.03994,0.17961,0.79879,0
0.0300,-0.53405,0.00283,0.00211,-0.00368,-0.02425,0.03937,0.70116,-0.00208,0.00001,0.00995,-0.01741,0.02355,-0.04096,0.17973,0.79874,0
0.0320,-0.53405,0.00283,0.00192,-0.00336,-0.02351,0.04047,0.70116,-0.00221,0.00001,0.00905,-0.01590,0.02202,-0.04147,0.17967,0.79874,0
0.0340,-0.53405,0.00283,0.00174,-0.00304,-0.02232,0.04112,0.70116,-0.00235,0.00001,0.00818,-0.01436,0.01997,-0.04147,0.17976,0.79873,0
0.0360,-0.53405,0.00283,0.00157,-0.00271,-0.02067,0.04131,0.70116,-0.00249,0.00001,0.00736,-0.01280,0.01741,-0.04096,0.17976,0.79873,0
0.0380,-0.53405,0.00283,0.00141,-0.00238,-0.01858,0.04104,0.70116,-0.00263,0.00001,0.00661,-0.01124,0.01434,-0.03994,0.17981,0.79869,0
0.0400,-0.53405,0.00283,0.00127,-0.00205,-0.01605,0.04031,0.70116,-0.00277,0.00001,0.00595,-0.00970,0.01075,-0.03840,0.17986,0.79863,0
0.0420,-0.53405,0.00283,0.00115,-0.00174,-0.01306,0.03912,0.70116,-0.00291,0.00002,0.00539,-0.00820,0.00666,-0.03635,0.17990,0.79858,0
0.0440,-0.53405,0.00283,0.00106,-0.00143,-0.00964,0.03747,0.70116,-0.00304,0.00002,0.00496,-0.00675,0.00205,-0.03379,0.17988,0.79854,0
0.0460,-0.53405,0.00283,0.00100,-0.00114,-0.00576,0.03536,0.70116,-0.00318,0.00002,0.00466,-0.00538,-0.00205,-0.03072,0.17994,0.79851,0
0.0480,-0.53405,0.00283,0.00097,-0.00086,-0.00233,0.03280,0.70116,-0.00332,0.00002,0.00450,-0.00409,-0.00563,-0.02714,0.17987,0.79843,0
0.0501,-0.53516,0.00363,0.00595,-0.00354,0.01926,0.02131,0.70055,-0.00346,0.00002,0.02692,-0.01594,-0.00870,-0.02304,0.17995,0.79840,0
0.0521,-0.53516,0.00363,0.00611,-0.00338,0.02148,0.01804,0.70055,-0.00360,0.00002,0.02769,-0.01520,-0.01126,-0.01843,0.17995,0.79840,0
0.0541,-0.53516,0.00363,0.00629,-0.00325,0.02325,0.01432,0.70055,-0.00374,0.00002,0.02853,-0.01459,-0.01331,-0.01434,0.17995,0.79840,0
0.0561,-0.53516,0.00363,0.00648,-0.00315,0.02457,0.01104,0.70055,-0.00388,0.00002,0.02942,-0.01411,-0.01485,-0.01075,0.17999,0.79825,0
0.0581,-0.53516,0.00363,0.00668,-0.00308,0.02544,0.00818,0.70055,-0.00402,0.00002,0.03036,-0.01374,-0.01587,-0.00768,0.17993,0.79822,0
0.0601,-0.53516,0.00363,0.00689,-0.00302,0.02586,0.00576,0.70055,-0.00415,0.00002,0.03132,-0.01348,-0.01638,-0.00512,0.17989,0.79815,0
0.0621,-0.53516,0.00363,0.00709,-0.00298,0.02582,0.00377,0.70055,-0.00429,0.00002,0.03229,-0.01330,-0.01638,-0.00307,0.17982,0.79813,0
0.0641,-0.53516,0.00363,0.00730,-0.00296,0.02534,0.00222,0.70055,-0.00443,0.00002,0.03325,-0.01319,-0.01587,-0.00154,0.17984,0.79815,0
0.0661,-0.53516,0.00363,0.00750,-0.00295,0.02440,0.00110,0.70055,-0.00457,0.00002,0.03418,-0.01312,-0.01485,-0.00051,0.17985,0.79804,0
0.0681,-0.53516,0.00363,0.00769,-0.00294,0.02301,0.00043,0.70055,-0.00471,0.00002,0.03507,-0.01309,-0.01331,-0.00000,0.17983,0.79810,0
0.0701,-0.53516,0.00363,0.00786,-0.00294,0.02118,0.00019,0.70055,-0.00485,0.00003,0.03590,-0.01308,-0.01126,-0.00000,0.17987,0.79804,0
0.0721,-0.53516,0.00363,0.00802,-0.00293,0.01889,0.00038,0.70055,-0.00498,0.00003,0.03664,-0.01307,-0.00870,-0.00051,0.17986,0.79802,0
0.0741,-0.53516,0.00363,0.00816,-0.00293,0.01616,0.00102,0.70055,-0.00512,0.00003,0.03730,-0.01305,-0.00563,-0.00154,0.17989,0.79797,0
0.0761,-0.53516,0.00363,0.00828,-0.00292,0.01298,0.00209,0.70055,-0.00526,0.00003,0.03784,-0.01299,-0.00205,-0.00307,0.17992,0.79790,0
0.0781,-0.53516,0.00363,0.00837,-0.00289,0.00936,0.00360,0.70055,-0.00540,0.00003,0.03825,-0.01288,0.00205,-0.00512,0.17988,0.79790,0
0.0801,-0.53516,0.00363,0.00843,-0.00286,0.00529,0.00554,0.70055,-0.00554,0.00003,0.03852,-0.01271,0.00666,-0.00768,0.17989,0.79783,0
0.0821,-0.53516,0.00363,0.00845,-0.00280,0.00079,0.00792,0.70055,-0.00568,0.00003,0.03862,-0.01245,0.01178,-0.01075,0.17992,0.79784,0
0.0841,-0.53516,0.00363,0.00844,-0.00273,-0.00415,0.01073,0.70055,-0.00581,0.00003,0.03854,-0.01210,0.01741,-0.01331,0.17989,0.79781,0
0.0861,-0.53516,0.00363,0.00838,-0.00263,-0.00953,0.01309,0.70055,-0.00595,0.00003,0.03827,-0.01165,0.02355,-0.01536,0.17989,0.79777,0
0.0881,-0.53516,0.00363,0.00828,-0.00252,-0.01534,0.01501,0.70055,-0.00609,0.00003,0.03779,-0.01112,0.02995,-0.01690,0.17987,0.79775,0
0.0901,-0.53516,0.00363,0.00814,-0.00240,-0.02136,0.01649,0.70055,-0.00623,0.00003,0.03708,-0.01052,0.03584,-0.01792,0.17993,0.79777,0
0.0921,-0.53516,0.00363,0.00794,-0.00226,-0.02693,0.01752,0.70055,-0.00637,0.00003,0.03616,-0.00988,0.04122,-0.01843,0.18000,0.79775,0
0.0941,-0.53516,0.00363,0.00771,-0.00212,-0.03205,0.01810,0.70055,-0.00651,0.00003,0.03503,-0.00920,0.04608,-0.01843,0.18003,0.79769,0
0.0962,-0.53516,0.00363,0.00743,-0.00197,-0.03671,0.01824,0.70055,-0.00665,0.00004,0.03372,-0.00852,0.05043,-0.01792,0.18012,0.79765,0
0.0982,-0.53516,0.00363,0.00712,-0.00183,-0.04091,0.01793,0.70055,-0.00679,0.00004,0.03224,-0.00783,0.05427,-0.01690,0.18015,0.79763,0
0.1002,-0.53516,0.00363,0.00678,-0.00169,-0.04466,0.01717,0.70055,-0.00693,0.00004,0.03060,-0.00717,0.05760,-0.01536,0.18016,0.79761,0
0.1022,-0.53516,0.00363,0.00641,-0.00155,-0.04794,0.01596,0.70055,-0.00706,0.00004,0.02884,-0.00654,0.06042,-0.01331,0.18017,0.79755,0
0.1042,-0.53516,0.00363,0.00602,-0.00143,-0.05076,0.01431,0.70055,-0.00720,0.00004,0.02696,-0.00597,0.06272,-0.01075,0.18019,0.79754,0
0.1062,-0.53516,0.00363,0.00560,-0.00133,-0.05311,0.01221,0.70055,-0.00734,0.00004,0.02498,-0.00547,0.06451,-0.00768,0.18021,0.79750,0
0.1082,-0.53516,0.00363,0.00517,-0.00124,-0.05500,0.00967,0.70055,-0.00748,0.00004,0.02292,-0.00506,0.06579,-0.00502,0.18029,0.79747,0
0.1102,-0.53516,0.00363,0.00472,-0.00117,-0.05642,0.00747,0.70055,-0.00762,0.00004,0.02080,-0.00473,0.06656,-0.00286,0.18033,0.79742,0
