t,ex,ey,th_x,th_y,thd_x,thd_y,yaw,vref_x,vref_y,vfb_x,vfb_y,vcmd_x,vcmd_y,tcp_x,tcp_y,dans_cible
0.0000,-0.44652,-0.02718,-0.00174,0.00325,0.00000,0.00000,0.69068,-0.00000,-0.00000,-0.00823,0.01538,-0.00051,0.00051,0.10856,0.81966,0
0.0020,-0.44652,-0.02718,-0.00174,0.00325,0.00055,-0.00066,0.69068,-0.00014,-0.00001,-0.00822,0.01537,-0.00154,0.00154,0.10863,0.81968,0
0.0041,-0.44652,-0.02718,-0.00173,0.00324,0.00155,-0.00175,0.69068,-0.00028,-0.00002,-0.00818,0.01532,-0.00307,0.00307,0.10860,0.81965,0
0.0060,-0.44652,-0.02718,-0.00171,0.00322,0.00297,-0.00328,0.69068,-0.00042,-0.00003,-0.00810,0.01522,-0.00512,0.00512,0.10863,0.81965,0
0.0080,-0.44652,-0.02718,-0.00168,0.00319,0.00484,-0.00524,0.69068,-0.00056,-0.00003,-0.00795,0.01506,-0.00768,0.00768,0.10864,0.81970,0
0.0100,-0.44652,-0.02718,-0.00163,0.00313,0.00714,-0.00764,0.69068,-0.00069,-0.00004,-0.00772,0.01482,-0.00973,0.01075,0.10855,0.81968,0
0.0121,-0.44652,-0.02718,-0.00157,0.00306,0.00899,-0.01047,0.69068,-0.00083,-0.00005,-0.00742,0.01448,-0.01126,0.01434,0.10862,0.81967,0
0.0141,-0.44652,-0.02718,-0.00149,0.00297,0.01041,-0.01374,0.69068,-0.00097,-0.00006,-0.00705,0.01402,-0.01229,0.01741,0.10860,0.81967,0
0.0161,-0.44652,-0.02718,-0.00140,0.00284,0.01138,-0.01656,0.69068,-0.00111,-0.00007,-0.00664,0.01345,-0.01280,0.01997,0.10860,0.81969,0
0.0181,-0.44652,-0.02718,-0.00131,0.00270,0.01191,-0.01893,0.69068,-0.00125,-0.00008,-0.00621,0.01277,-0.01280,0.02202,0.10854,0.81968,0
0.0201,-0.44652,-0.02718,-0.00121,0.00254,0.01199,-0.02085,0.69068,-0.00138,-0.00008,-0.00576,0.01202,-0.01229,0.02355,0.10851,0.81973,0
0.0221,-0.44652,-0.02718,-0.00112,0.00237,0.01163,-0.02233,0.69068,-0.00152,-0.00009,-0.00531,0.01121,-0.01126,0.02458,0.10849,0.81978,0
0.0241,-0.44652,-0.02718,-0.00103,0.00219,0.01083,-0.02336,0.69068,-0.00166,-0.00010,-0.00489,0.01034,-0.00973,0.02509,0.10846,0.81975,0
0.0261,-0.44652,-0.02718,-0.00095,0.00200,0.00958,-0.02393,0.69068,-0.00180,-0.00011,-0.00451,0.00945,-0.00768,0.02509,0.10844,0.81983,0
0.0281,-0.44652,-0.02718,-0.00088,0.00181,0.00789,-0.02406,0.69068,-0.00194,-0.00012,-0.00418,0.00854,-0.00612,0.02458,0.10843,0.81983,0
0.0301,-0.44652,-0.02718,-0.00082,0.00162,0.00661,-0.02373,0.69068,-0.00207,-0.00013,-0.00391,0.00763,-0.00507,0.02355,0.10838,0.81989,0
0.0321,-0.44652,-0.02718,-0.00077,0.00143,0.00577,-0.02296,0.69068,-0.00221,-0.00013,-0.00368,0.00675,-0.00453,0.02202,0.10837,0.81990,0
0.0341,-0.44652,-0.02718,-0.00073,0.00125,0.00536,-0.02173,0.69068,-0.00235,-0.00014,-0.00348,0.00591,-0.00451,0.01997,0.10840,0.81994,0
0.0361,-0.44652,-0.02718,-0.00068,0.00108,0.00538,-0.02006,0.69068,-0.00249,-0.00015,-0.00328,0.00512,-0.00500,0.01741,0.10838,0.81999,0
0.0381,-0.44652,-0.02718,-0.00064,0.00093,0.00584,-0.01793,0.69068,-0.00263,-0.00016,-0.00307,0.00440,-0.00570,0.01434,0.10832,0.81998,0
0.0401,-0.44652,-0.02718,-0.00059,0.00080,0.00648,-0.01536,0.69068,-0.00276,-0.00017,-0.00284,0.00377,-0.00589,0.01075,0.10835,0.82006,0
0.0421,-0.44652,-0.02718,-0.00054,0.00069,0.00668,-0.01235,0.69068,-0.00290,-0.00018,-0.00260,0.00324,-0.00556,0.00666,0.10839,0.82009,0
0.0441,-0.44652,-0.02718,-0.00048,0.00060,0.00644,-0.00889,0.69068,-0.00304,-0.00019,-0.00236,0.00284,-0.00540,0.00266,0.10835,0.82016,0
0.0461,-0.44652,-0.02718,-0.00043,0.00054,0.00633,-0.00551,0.69068,-0.00318,-0.00019,-0.00212,0.00257,-0.00530,-0.00083,0.10837,0.82017,0
0.0481,-0.44652,-0.02718,-0.00038,0.00051,0.00627,-0.00256,0.69068,-0.00332,-0.00020,-0.00189,0.00242,-0.00521,-0.00381,0.10839,0.82024,0
0.0501,-0.44652,-0.02718,-0.00033,0.00050,0.00622,-0.00005,0.69068,-0.00346,-0.00021,-0.00166,0.00237,-0.00512,-0.00627,0.10841,0.82026,0
0.0521,-0.44652,-0.02718,-0.00028,0.00051,0.00616,0.00202,0.69068,-0.00359,-0.00022,-0.00144,0.00240,-0.00503,-0.00823,0.10833,0.82022,0
0.0541,-0.44652,-0.02718,-0.00023,0.00053,0.00610,0.00365,0.69068,-0.00373,-0.00023,-0.00121,0.00251,-0.00494,-0.00967,0.10831,0.82030,0
0.0561,-0.44652,-0.02718,-0.00019,0.00057,0.00604,0.00485,0.69068,-0.00387,-0.00024,-0.00099,0.00267,-0.00486,-0.01059,0.10835,0.82027,0
0.0581,-0.44652,-0.02718,-0.00014,0.00061,0.00598,0.00560,0.69068,-0.00401,-0.00024,-0.00077,0.00287,-0.00478,-0.01101,0.10832,0.82025,0
0.0601,-0.44652,-0.02718,-0.00009,0.00065,0.00591,0.00591,0.69068,-0.00415,-0.00025,-0.00055,0.00308,-0.00470,-0.01091,0.10829,0.82025,0
0.0621,-0.44652,-0.02718,-0.00004,0.00070,0.00585,0.00579,0.69068,-0.00428,-0.00026,-0.00034,0.00330,-0.00462,-0.01031,0.10829,0.82027,0
0.0641,-0.44652,-0.02718,0.00000,0.00074,0.00579,0.00522,0.69068,-0.00442,-0.00027,-0.00013,0.00351,-0.00455,-0.00919,0.10827,0.82028,0
0.0661,-0.44652,-0.02718,0.00005,0.00078,0.00572,0.00421,0.69068,-0.00456,-0.00028,0.00008,0.00369,-0.00448,-0.00756,0.10831,0.82033,0
0.0681,-0.44652,-0.02718,0.00009,0.00081,0.00566,0.00276,0.69068,-0.00470,-0.00029,0.00029,0.00382,-0.00441,-0.00541,0.10833,0.82036,0
0.0701,-0.44652,-0.02718,0.00014,0.00082,0.00559,0.00087,0.69068,-0.00484,-0.00029,0.00049,0.00389,-0.00435,-0.00276,0.10828,0.82040,0
