t,ex,ey,th_x,th_y,thd_x,thd_y,yaw,vref_x,vref_y,vfb_x,vfb_y,vcmd_x,vcmd_y,tcp_x,tcp_y,dans_cible,th_brut_x,th_brut_y
0.0000,-0.35910,-0.00151,0.00652,-0.00437,0.00000,0.00000,0.35309,-0.00000,-0.00000,0.03084,-0.02068,0.00013,-0.00013,0.05832,0.86432,0,0.00652,-0.00437
0.0020,-0.35910,-0.00151,0.00652,-0.00437,-0.00022,0.00018,0.35309,-0.00014,-0.00000,0.03084,-0.02068,0.00038,-0.00038,0.05826,0.86433,0,0.00652,-0.00437
0.0040,-0.35910,-0.00151,0.00652,-0.00437,-0.00055,0.00047,0.35309,-0.00028,-0.00000,0.03083,-0.02068,0.00077,-0.00077,0.05832,0.86435,0,0.00652,-0.00437
0.0060,-0.35910,-0.00151,0.00652,-0.00437,-0.00098,0.00088,0.35309,-0.00042,-0.00000,0.03083,-0.02067,0.00128,-0.00128,0.05833,0.86436,0,0.00652,-0.00437
0.0080,-0.35910,-0.00151,0.00652,-0.00437,-0.00153,0.00139,0.35309,-0.00055,-0.00000,0.03081,-0.02066,0.00192,-0.00192,0.05828,0.86434,0,0.00652,-0.00437
0.0100,-0.35910,-0.00151,0.00651,-0.00437,-0.00219,0.00201,0.35309,-0.00069,-0.00000,0.03080,-0.02064,0.00269,-0.00269,0.05830,0.86433,0,0.00652,-0.00437
0.0120,-0.35910,-0.00151,0.00651,-0.00436,-0.00295,0.00274,0.35309,-0.00083,-0.00000,0.03077,-0.02062,0.00358,-0.00358,0.05828,0.86434,0,0.00652,-0.00437
0.0140,-0.35910,-0.00151,0.00650,-0.00436,-0.00383,0.00358,0.35309,-0.00097,-0.00000,0.03074,-0.02059,0.00461,-0.00461,0.05832,0.86435,0,0.00652,-0.00437
0.0160,-0.35910,-0.00151,0.00649,-0.00435,-0.00481,0.00452,0.35309,-0.00111,-0.00000,0.03070,-0.02055,0.00576,-0.00576,0.05828,0.86433,0,0.00652,-0.00437
0.0180,-0.35910,-0.00151,0.00648,-0.00434,-0.00591,0.00558,0.35309,-0.00125,-0.00001,0.03065,-0.02051,0.00704,-0.00704,0.05832,0.86433,0,0.00652,-0.00437
0.0200,-0.35910,-0.00151,0.00647,-0.00433,-0.00711,0.00675,0.35309,-0.00138,-0.00001,0.03058,-0.02045,0.00845,-0.00845,0.05838,0.86432,0,0.00652,-0.00437
0.0220,-0.35910,-0.00151,0.00645,-0.00431,-0.00842,0.00802,0.35309,-0.00152,-0.00001,0.03051,-0.02038,0.00998,-0.00998,0.05835,0.86432,0,0.00652,-0.00437
0.0240,-0.35910,-0.00151,0.00644,-0.00429,-0.00984,0.00941,0.35309,-0.00166,-0.00001,0.03042,-0.02030,0.01158,-0.01158,0.05834,0.86429,0,0.00652,-0.00437
0.0261,-0.35910,-0.00151,0.00642,-0.00427,-0.01132,0.01085,0.35309,-0.00180,-0.00001,0.03032,-0.02020,0.01318,-0.01318,0.05842,0.86422,0,0.00652,-0.00437
0.0281,-0.35910,-0.00151,0.00639,-0.00425,-0.01279,0.01229,0.35309,-0.00194,-0.00001,0.03021,-0.02009,0.01478,-0.01478,0.05846,0.86425,0,0.00652,-0.00437
0.0301,-0.35910,-0.00151,0.00636,-0.00422,-0.01426,0.01372,0.35309,-0.00208,-0.00001,0.03008,-0.01997,0.01638,-0.01638,0.05849,0.86424,0,0.00652,-0.00437
0.0321,-0.35910,-0.00151,0.00633,-0.00419,-0.01574,0.01516,0.35309,-0.00222,-0.00001,0.02993,-0.01983,0.01798,-0.01798,0.05853,0.86420,0,0.00652,-0.00437
0.0341,-0.35910,-0.00151,0.00630,-0.00416,-0.01721,0.01660,0.35309,-0.00236,-0.00001,0.02978,-0.01968,0.01958,-0.01958,0.05852,0.86419,0,0.00652,-0.00437
0.0361,-0.35910,-0.00151,0.00627,-0.00413,-0.01868,0.01804,0.35309,-0.00250,-0.00001,0.02961,-0.01952,0.02118,-0.02106,0.05854,0.86420,0,0.00652,-0.00437
