t,ex,ey,th_x,th_y,thd_x,thd_y,yaw,vref_x,vref_y,vfb_x,vfb_y,vcmd_x,vcmd_y,tcp_x,tcp_y,dans_cible
0.0000,-0.49477,0.00316,0.01246,-0.00737,0.00000,0.00000,-3.05735,-0.00000,0.00000,0.00000,0.00000,-0.00000,0.00000,0.12638,0.82476,0
0.0020,-0.49477,0.00316,0.01246,-0.00737,-0.00083,0.00049,-3.05735,-0.00014,0.00000,0.00000,0.00000,-0.00014,0.00000,0.12638,0.82477,0
0.0040,-0.49477,0.00316,0.01245,-0.00737,-0.00155,0.00099,-3.05735,-0.00028,0.00000,0.00000,0.00000,-0.00028,0.00000,0.12646,0.82477,0
0.0060,-0.49477,0.00316,0.01244,-0.00736,-0.00227,0.00148,-3.05735,-0.00042,0.00000,0.00000,0.00000,-0.00042,0.00000,0.12639,0.82478,0
0.0080,-0.49477,0.00316,0.01242,-0.00734,-0.00298,0.00197,-3.05735,-0.00055,0.00000,0.00000,0.00000,-0.00055,0.00000,0.12636,0.82476,0
0.0100,-0.49477,0.00316,0.01239,-0.00732,-0.00370,0.00246,-3.05735,-0.00069,0.00000,0.00000,0.00000,-0.00069,0.00000,0.12635,0.82478,0
0.0120,-0.49477,0.00316,0.01236,-0.00730,-0.00441,0.00295,-3.05735,-0.00083,0.00001,0.00000,0.00000,-0.00083,0.00001,0.12639,0.82476,0
0.0140,-0.49477,0.00316,0.01232,-0.00728,-0.00512,0.00344,-3.05735,-0.00097,0.00001,0.00000,0.00000,-0.00097,0.00001,0.12641,0.82478,0
0.0160,-0.49477,0.00316,0.01227,-0.00725,-0.00582,0.00393,-3.05735,-0.00111,0.00001,0.00000,0.00000,-0.00111,0.00001,0.12637,0.82481,0
0.0180,-0.49477,0.00316,0.01222,-0.00721,-0.00653,0.00441,-3.05735,-0.00125,0.00001,0.00000,0.00000,-0.00125,0.00001,0.12638,0.82473,0
0.0200,-0.49477,0.00316,0.01217,-0.00718,-0.00722,0.00489,-3.05735,-0.00138,0.00001,0.00000,0.00000,-0.00138,0.00001,0.12635,0.82476,0
0.0220,-0.49477,0.00316,0.01211,-0.00714,-0.00792,0.00537,-3.05735,-0.00152,0.00001,0.00000,0.00000,-0.00152,0.00001,0.12646,0.82478,0
0.0240,-0.49477,0.00316,0.01204,-0.00709,-0.00861,0.00585,-3.05735,-0.00166,0.00001,0.00000,0.00000,-0.00166,0.00001,0.12639,0.82476,0
0.0260,-0.49477,0.00316,0.01197,-0.00704,-0.00930,0.00632,-3.05735,-0.00180,0.00001,0.00000,0.00000,-0.00180,0.00001,0.12638,0.82476,0
0.0280,-0.49477,0.00316,0.01189,-0.00699,-0.00998,0.00679,-3.05735,-0.00194,0.00001,0.00000,0.00000,-0.00194,0.00001,0.12641,0.82479,0
0.0300,-0.49477,0.00316,0.01181,-0.00693,-0.01065,0.00725,-3.05735,-0.00208,0.00001,0.00000,0.00000,-0.00208,0.00001,0.12637,0.82477,0
0.0320,-0.49477,0.00316,0.01172,-0.00687,-0.01132,0.00772,-3.05735,-0.00221,0.00001,0.00000,0.00000,-0.00221,0.00001,0.12637,0.82476,0
0.0340,-0.49477,0.00316,0.01163,-0.00681,-0.01199,0.00817,-3.05735,-0.00235,0.00002,0.00000,0.00000,-0.00235,0.00002,0.12640,0.82476,0
0.0360,-0.49477,0.00316,0.01153,-0.00674,-0.01265,0.00863,-3.05735,-0.00249,0.00002,0.00000,0.00000,-0.00249,0.00002,0.12640,0.82480,0
0.0380,-0.49477,0.00316,0.01143,-0.00667,-0.01330,0.00908,-3.05735,-0.00263,0.00002,0.00000,0.00000,-0.00263,0.00002,0.12636,0.82478,0
0.0400,-0.49477,0.00316,0.01132,-0.00660,-0.01394,0.00952,-3.05735,-0.00277,0.00002,0.00000,0.00000,-0.00277,0.00002,0.12643,0.82479,0
0.0420,-0.49477,0.00316,0.01121,-0.00652,-0.01457,0.00996,-3.05735,-0.00291,0.00002,0.00000,0.00000,-0.00291,0.00002,0.12636,0.82477,0
