t,ex,ey,th_x,th_y,thd_x,thd_y,yaw,vref_x,vref_y,vfb_x,vfb_y,vcmd_x,vcmd_y,tcp_x,tcp_y,dans_cible
0.0000,-0.44588,-0.02510,-0.00022,0.01515,0.00000,0.00000,2.60838,-0.00000,-0.00000,-0.00106,0.07161,-0.00051,0.00051,0.10870,0.81362,0
0.0020,-0.44588,-0.02510,-0.00022,0.01514,0.00045,-0.00145,2.60838,-0.00014,-0.00001,-0.00105,0.07158,-0.00119,0.00154,0.10874,0.81365,0
0.0040,-0.44588,-0.02510,-0.00022,0.01512,0.00105,-0.00334,2.60838,-0.00028,-0.00002,-0.00102,0.07149,-0.00136,0.00307,0.10871,0.81363,0
0.0060,-0.44588,-0.02510,-0.00021,0.01509,0.00120,-0.00567,2.60838,-0.00042,-0.00002,-0.00098,0.07132,-0.00140,0.00512,0.10875,0.81362,0
0.0080,-0.44588,-0.02510,-0.00020,0.01503,0.00125,-0.00843,2.60838,-0.00055,-0.00003,-0.00094,0.07105,-0.00149,0.00768,0.10873,0.81362,0
0.0100,-0.44588,-0.02510,-0.00019,0.01495,0.00134,-0.01162,2.60838,-0.00069,-0.00004,-0.00089,0.07067,-0.00158,0.01075,0.10872,0.81362,0
0.0120,-0.44588,-0.02510,-0.00018,0.01484,0.00143,-0.01524,2.60838,-0.00083,-0.00005,-0.00084,0.07016,-0.00167,0.01434,0.10873,0.81360,0
0.0140,-0.44588,-0.02510,-0.00016,0.01470,0.00152,-0.01930,2.60838,-0.00097,-0.00005,-0.00078,0.06951,-0.00175,0.01843,0.10875,0.81364,0
0.0160,-0.44588,-0.02510,-0.00015,0.01453,0.00160,-0.02378,2.60838,-0.00111,-0.00006,-0.00073,0.06869,-0.00183,0.02304,0.10873,0.81364,0
0.0180,-0.44588,-0.02510,-0.00014,0.01432,0.00168,-0.02868,2.60838,-0.00124,-0.00007,-0.00067,0.06770,-0.00191,0.02816,0.10873,0.81366,0
0.0200,-0.44588,-0.02510,-0.00012,0.01407,0.00175,-0.03401,2.60838,-0.00138,-0.00008,-0.00060,0.06652,-0.00199,0.03379,0.10873,0.81368,0
0.0220,-0.44588,-0.02510,-0.00011,0.01378,0.00183,-0.03975,2.60838,-0.00152,-0.00009,-0.00054,0.06512,-0.00206,0.03994,0.10874,0.81373,0
0.0240,-0.44588,-0.02510,-0.00010,0.01343,0.00190,-0.04591,2.60838,-0.00166,-0.00009,-0.00047,0.06350,-0.00213,0.04634,0.10871,0.81379,0
0.0260,-0.44588,-0.02510,-0.00008,0.01304,0.00196,-0.05226,2.60838,-0.00180,-0.00010,-0.00040,0.06164,-0.00220,0.05274,0.10870,0.81382,0
0.0280,-0.44588,-0.02510,-0.00006,0.01260,0.00203,-0.05859,2.60838,-0.00193,-0.00011,-0.00033,0.05955,-0.00227,0.05914,0.10874,0.81386,0
0.0300,-0.44588,-0.02510,-0.00005,0.01210,0.00209,-0.06488,2.60838,-0.00207,-0.00012,-0.00026,0.05721,-0.00233,0.06502,0.10875,0.81390,0
0.0320,-0.44588,-0.02510,-0.00003,0.01156,0.00214,-0.07070,2.60838,-0.00221,-0.00012,-0.00018,0.05465,-0.00239,0.07040,0.10873,0.81391,0
0.0340,-0.44588,-0.02510,-0.00001,0.01097,0.00220,-0.07604,2.60838,-0.00235,-0.00013,-0.00010,0.05187,-0.00245,0.07526,0.10871,0.81394,0
0.0360,-0.44588,-0.02510,0.00000,0.01035,0.00225,-0.08090,2.60838,-0.00249,-0.00014,-0.00002,0.04891,-0.00251,0.07962,0.10870,0.81399,0
0.0380,-0.44588,-0.02510,0.00002,0.00968,0.00230,-0.08529,2.60838,-0.00263,-0.00015,0.00006,0.04576,-0.00257,0.08346,0.10867,0.81404,0
0.0400,-0.44588,-0.02510,0.00004,0.00898,0.00235,-0.08919,2.60838,-0.00276,-0.00016,0.00014,0.04246,-0.00262,0.08678,0.10870,0.81406,0
0.0420,-0.44588,-0.02510,0.00006,0.00826,0.00239,-0.09260,2.60838,-0.00290,-0.00016,0.00022,0.03902,-0.00268,0.08960,0.10869,0.81413,0
0.0440,-0.44588,-0.02510,0.00008,0.00750,0.00243,-0.09552,2.60838,-0.00304,-0.00017,0.00031,0.03547,-0.00273,0.09190,0.10868,0.81419,0
0.0460,-0.44588,-0.02510,0.00010,0.00673,0.00247,-0.09796,2.60838,-0.00318,-0.00018,0.00039,0.03181,-0.00278,0.09370,0.10868,0.81425,0
0.0480,-0.44588,-0.02510,0.00012,0.00594,0.00251,-0.09991,2.60838,-0.00332,-0.00019,0.00048,0.02807,-0.00283,0.09498,0.10867,0.81429,0
0.0500,-0.44588,-0.02510,0.00014,0.00513,0.00254,-0.10136,2.60838,-0.00345,-0.00019,0.00057,0.02426,-0.00288,0.09574,0.10866,0.81437,0
0.0520,-0.44588,-0.02510,0.00016,0.00432,0.00257,-0.10232,2.60838,-0.00359,-0.00020,0.00066,0.02041,-0.00293,0.09600,0.10867,0.81446,0
0.0540,-0.44588,-0.02510,0.00018,0.00350,0.00260,-0.10279,2.60838,-0.00373,-0.00021,0.00075,0.01653,-0.00298,0.09574,0.10866,0.81454,0
0.0561,-0.44588,-0.02510,0.00020,0.00267,0.00263,-0.10277,2.60838,-0.00387,-0.00022,0.00084,0.01264,-0.00303,0.09498,0.10870,0.81461,0
0.0581,-0.44588,-0.02510,0.00022,0.00185,0.00266,-0.10226,2.60838,-0.00401,-0.00023,0.00093,0.00876,-0.00307,0.09370,0.10870,0.81471,0
0.0601,-0.44588,-0.02510,0.00024,0.00104,0.00268,-0.10125,2.60838,-0.00414,-0.00023,0.00103,0.00491,-0.00312,0.09190,0.10866,0.81479,0
0.0621,-0.44588,-0.02510,0.00027,0.00024,0.00270,-0.09975,2.60838,-0.00428,-0.00024,0.00112,0.00111,-0.00316,0.08960,0.10871,0.81489,0
0.0641,-0.44588,-0.02510,0.00029,-0.00055,0.00272,-0.09776,2.60838,-0.00442,-0.00025,0.00121,-0.00263,-0.00321,0.08678,0.10865,0.81496,0
0.0661,-0.44588,-0.02510,0.00031,-0.00133,0.00274,-0.09528,2.60838,-0.00456,-0.00026,0.00131,-0.00628,-0.00325,0.08346,0.10869,0.81506,0
0.0681,-0.44677,-0.02674,0.00176,0.00574,0.00687,-0.07614,2.59699,-0.00470,-0.00026,0.00726,0.02549,-0.00279,0.07962,0.10869,0.81517,0
0.0701,-0.44677,-0.02674,0.00181,0.00515,0.00635,-0.07321,2.59699,-0.00484,-0.00027,0.00751,0.02267,-0.00181,0.07526,0.10866,0.81524,0
0.0721,-0.44677,-0.02674,0.00186,0.00457,0.00539,-0.06981,2.59699,-0.00498,-0.00028,0.00772,0.01996,-0.00032,0.07040,0.10866,0.81536,0
0.0741,-0.44677,-0.02674,0.00190,0.00403,0.00399,-0.06593,2.59699,-0.00512,-0.00029,0.00788,0.01740,0.00168,0.06502,0.10866,0.81545,0
0.0761,-0.44677,-0.02674,0.00192,0.00352,0.00215,-0.06158,2.59699,-0.00526,-0.00030,0.00799,0.01498,0.00317,0.05914,0.10868,0.81554,0
0.0781,-0.44677,-0.02674,0.00193,0.00305,0.00075,-0.05677,2.59699,-0.00539,-0.00030,0.00803,0.01275,0.00415,0.05274,0.10868,0.81567,0
0.0802,-0.44677,-0.02674,0.00194,0.00261,-0.00021,-0.05148,2.59699,-0.00553,-0.00031,0.00803,0.01070,0.00461,0.04634,0.10871,0.81579,0
0.0822,-0.44677,-0.02674,0.00193,0.00222,-0.00074,-0.04617,2.59699,-0.00567,-0.00032,0.00800,0.00885,0.00456,0.03994,0.10870,0.81589,0
0.0842,-0.44677,-0.02674,0.00193,0.00188,-0.00083,-0.04083,2.59699,-0.00581,-0.00033,0.00796,0.00721,0.00401,0.03354,0.10868,0.81600,0
0.0862,-0.44677,-0.02674,0.00192,0.00157,-0.00048,-0.03547,2.59699,-0.00595,-0.00033,0.00793,0.00576,0.00293,0.02714,0.10866,0.81613,0
0.0882,-0.44677,-0.02674,0.00192,0.00131,0.00030,-0.03009,2.59699,-0.00609,-0.00034,0.00791,0.00452,0.00182,0.02074,0.10867,0.81622,0
0.0902,-0.44677,-0.02674,0.00193,0.00109,0.00112,-0.02470,2.59699,-0.00623,-0.00035,0.00793,0.00348,0.00123,0.01434,0.10870,0.81631,0
0.0922,-0.44677,-0.02674,0.00194,0.00091,0.00151,-0.01929,2.59699,-0.00636,-0.00036,0.00796,0.00265,0.00114,0.00794,0.10879,0.81643,0
0.0942,-0.44677,-0.02674,0.00195,0.00078,0.00145,-0.01388,2.59699,-0.00650,-0.00037,0.00801,0.00202,0.00150,0.00166,0.10882,0.81650,0
0.0962,-0.44677,-0.02674,0.00196,0.00069,0.00101,-0.00856,2.59699,-0.00664,-0.00037,0.00804,0.00160,0.00140,-0.00411,0.10879,0.81655,0
